"GEO_ID","B05001_001E","B05001_001M","B05001_002E","B05001_002M","B05001_003E","B05001_003M","B05001_004E","B05001_004M","B05001_005E","B05001_005M","B05001_006E","B05001_006M","NAME"
"id","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!U.S. citizen, born in the United States","Margin of Error!!Total!!U.S. citizen, born in the United States","Estimate!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Margin of Error!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Estimate!!Total!!U.S. citizen, born abroad of American parent(s)","Margin of Error!!Total!!U.S. citizen, born abroad of American parent(s)","Estimate!!Total!!U.S. citizen by naturalization","Margin of Error!!Total!!U.S. citizen by naturalization","Estimate!!Total!!Not a U.S. citizen","Margin of Error!!Total!!Not a U.S. citizen","Geographic Area Name"
"1400000US25009201100","3431","15","3073","147","16","23","9","14","269","130","64","47","Census Tract 2011, Essex County, Massachusetts"
"1400000US25009202101","2150","307","1795","279","0","127","62","94","252","207","41","49","Census Tract 2021.01, Essex County, Massachusetts"
"1400000US25009202102","5889","279","5035","392","0","127","21","26","630","245","203","130","Census Tract 2021.02, Essex County, Massachusetts"
"1400000US25009202200","5780","260","5290","302","0","127","53","64","324","162","113","100","Census Tract 2022, Essex County, Massachusetts"
"1400000US25009203100","6592","259","6133","298","20","31","27","31","387","164","25","30","Census Tract 2031, Essex County, Massachusetts"
"1400000US25009203200","4397","259","4036","264","0","127","28","26","255","91","78","57","Census Tract 2032, Essex County, Massachusetts"
"1400000US25009203301","4210","250","3982","254","0","127","39","32","76","51","113","75","Census Tract 2033.01, Essex County, Massachusetts"
"1400000US25009203302","4598","349","3922","320","0","127","92","78","239","115","345","297","Census Tract 2033.02, Essex County, Massachusetts"
"1400000US25009204101","4827","561","3973","502","103","94","52","47","319","121","380","213","Census Tract 2041.01, Essex County, Massachusetts"
"1400000US25009204102","4471","415","3661","373","0","127","26","29","389","144","395","201","Census Tract 2041.02, Essex County, Massachusetts"
"1400000US25009204200","4968","354","3837","331","184","101","8","17","476","274","463","219","Census Tract 2042, Essex County, Massachusetts"
"1400000US25009204300","3856","458","2602","342","227","141","20","24","288","124","719","261","Census Tract 2043, Essex County, Massachusetts"
"1400000US25009204400","2856","248","2541","259","0","127","14","19","134","103","167","114","Census Tract 2044, Essex County, Massachusetts"
"1400000US25009204500","3163","287","2903","286","39","40","14","18","47","42","160","126","Census Tract 2045, Essex County, Massachusetts"
"1400000US25009204600","4833","427","4210","378","28","45","42","45","324","155","229","145","Census Tract 2046, Essex County, Massachusetts"
"1400000US25009204701","5426","432","4455","519","0","127","20","31","588","183","363","169","Census Tract 2047.01, Essex County, Massachusetts"
"1400000US25009204702","6564","451","5179","404","38","41","0","127","585","245","762","312","Census Tract 2047.02, Essex County, Massachusetts"
"1400000US25009205100","5523","354","4715","366","0","127","17","27","374","170","417","207","Census Tract 2051, Essex County, Massachusetts"
"1400000US25009205200","5558","456","4622","469","46","54","0","127","533","268","357","184","Census Tract 2052, Essex County, Massachusetts"
"1400000US25009205300","4556","386","4208","406","0","127","21","24","234","127","93","103","Census Tract 2053, Essex County, Massachusetts"
"1400000US25009205400","5011","236","4477","282","0","127","51","41","219","94","264","184","Census Tract 2054, Essex County, Massachusetts"
"1400000US25009205500","5013","567","3092","360","74","83","58","54","512","129","1277","523","Census Tract 2055, Essex County, Massachusetts"
"1400000US25009205600","3821","349","3194","388","47","65","16","21","271","155","293","196","Census Tract 2056, Essex County, Massachusetts"
"1400000US25009205700","4726","455","3823","500","170","46","0","127","542","263","191","151","Census Tract 2057, Essex County, Massachusetts"
"1400000US25009205800","3143","414","1924","322","132","171","80","68","149","106","858","310","Census Tract 2058, Essex County, Massachusetts"
"1400000US25009205900","4074","425","2867","373","0","127","3","10","473","189","731","264","Census Tract 2059, Essex County, Massachusetts"
"1400000US25009206000","3253","659","1740","537","86","73","11","22","447","168","969","296","Census Tract 2060, Essex County, Massachusetts"
"1400000US25009206100","3683","577","1508","255","111","69","23","26","623","250","1418","494","Census Tract 2061, Essex County, Massachusetts"
"1400000US25009206200","4924","668","2867","525","62","51","26","43","732","231","1237","343","Census Tract 2062, Essex County, Massachusetts"
"1400000US25009206300","3523","480","2173","319","94","94","14","24","641","219","601","212","Census Tract 2063, Essex County, Massachusetts"
"1400000US25009206400","4960","376","3671","397","144","97","21","27","477","148","647","231","Census Tract 2064, Essex County, Massachusetts"
"1400000US25009206500","3283","465","1949","429","87","73","0","127","502","241","745","213","Census Tract 2065, Essex County, Massachusetts"
"1400000US25009206600","5088","411","3537","485","78","78","122","94","522","220","829","327","Census Tract 2066, Essex County, Massachusetts"
"1400000US25009206700","4045","596","2580","504","111","92","34","46","685","225","635","337","Census Tract 2067, Essex County, Massachusetts"
"1400000US25009206800","2968","395","1899","394","49","55","0","127","462","132","558","164","Census Tract 2068, Essex County, Massachusetts"
"1400000US25009206900","4323","394","2251","347","245","190","36","46","870","181","921","320","Census Tract 2069, Essex County, Massachusetts"
"1400000US25009207000","1937","285","1177","228","72","67","0","127","364","182","324","130","Census Tract 2070, Essex County, Massachusetts"
"1400000US25009207100","3591","476","1435","305","334","319","47","71","543","199","1232","437","Census Tract 2071, Essex County, Massachusetts"
"1400000US25009207200","2622","322","1575","385","25","43","0","127","552","196","470","196","Census Tract 2072, Essex County, Massachusetts"
"1400000US25009208101","5019","427","4550","491","8","14","7","12","237","113","217","132","Census Tract 2081.01, Essex County, Massachusetts"
"1400000US25009208102","2951","315","2408","296","42","41","19","22","291","166","191","115","Census Tract 2081.02, Essex County, Massachusetts"
"1400000US25009208200","5332","297","4974","294","0","127","14","22","253","126","91","75","Census Tract 2082, Essex County, Massachusetts"
"1400000US25009208300","7291","337","6471","380","131","185","0","127","313","140","376","218","Census Tract 2083, Essex County, Massachusetts"
"1400000US25009208400","5799","434","4695","456","0","127","20","24","660","220","424","251","Census Tract 2084, Essex County, Massachusetts"
"1400000US25009209100","5907","204","5214","285","0","127","15","21","565","219","113","74","Census Tract 2091, Essex County, Massachusetts"
"1400000US25009209200","5580","209","5195","219","18","30","24","27","271","112","72","41","Census Tract 2092, Essex County, Massachusetts"
"1400000US25009210100","7492","461","6904","416","0","127","0","127","328","154","260","273","Census Tract 2101, Essex County, Massachusetts"
"1400000US25009210200","5579","442","5234","459","15","25","16","25","238","135","76","110","Census Tract 2102, Essex County, Massachusetts"
"1400000US25009210300","8222","435","7217","463","11","20","57","44","499","186","438","200","Census Tract 2103, Essex County, Massachusetts"
"1400000US25009210400","6743","372","5865","437","65","90","60","56","468","169","285","152","Census Tract 2104, Essex County, Massachusetts"
"1400000US25009210500","6228","265","5638","390","13","23","18","26","281","136","278","181","Census Tract 2105, Essex County, Massachusetts"
"1400000US25009210600","4206","270","3673","303","61","95","21","23","339","139","112","93","Census Tract 2106, Essex County, Massachusetts"
"1400000US25009210700","3750","380","2702","293","66","58","55","59","352","128","575","234","Census Tract 2107, Essex County, Massachusetts"
"1400000US25009210800","4623","489","3201","425","0","127","104","84","770","297","548","257","Census Tract 2108, Essex County, Massachusetts"
"1400000US25009210900","3612","368","2761","372","0","127","28","26","566","186","257","149","Census Tract 2109, Essex County, Massachusetts"
"1400000US25009211100","3594","259","3335","257","0","127","24","28","100","66","135","161","Census Tract 2111, Essex County, Massachusetts"
"1400000US25009211200","5869","406","5702","428","0","127","38","43","40","38","89","132","Census Tract 2112, Essex County, Massachusetts"
"1400000US25009211300","7270","355","6951","356","0","127","15","23","137","77","167","133","Census Tract 2113, Essex County, Massachusetts"
"1400000US25009211401","3132","360","2672","416","0","127","9","15","284","152","167","144","Census Tract 2114.01, Essex County, Massachusetts"
"1400000US25009211402","6248","306","5827","340","0","127","29","30","305","145","87","54","Census Tract 2114.02, Essex County, Massachusetts"
"1400000US25009212100","8717","25","7768","234","139","34","27","25","526","207","257","104","Census Tract 2121, Essex County, Massachusetts"
"1400000US25009213100","7917","32","7324","248","0","127","116","158","265","137","212","128","Census Tract 2131, Essex County, Massachusetts"
"1400000US25009214100","6057","23","5589","168","0","127","93","69","244","116","131","95","Census Tract 2141, Essex County, Massachusetts"
"1400000US25009215101","5145","229","4541","240","0","127","0","127","94","66","510","286","Census Tract 2151.01, Essex County, Massachusetts"
"1400000US25009215102","2680","228","2500","261","0","127","53","51","58","53","69","82","Census Tract 2151.02, Essex County, Massachusetts"
"1400000US25009216100","4794","28","4505","112","0","127","134","76","99","53","56","39","Census Tract 2161, Essex County, Massachusetts"
"1400000US25009217100","7406","552","6612","504","26","29","55","54","350","206","363","217","Census Tract 2171, Essex County, Massachusetts"
"1400000US25009217201","4097","292","3898","300","12","18","13","20","81","64","93","63","Census Tract 2172.01, Essex County, Massachusetts"
"1400000US25009217202","3707","259","3508","250","0","127","29","27","99","70","71","58","Census Tract 2172.02, Essex County, Massachusetts"
"1400000US25009217300","4096","333","3612","342","70","71","79","70","167","92","168","144","Census Tract 2173, Essex County, Massachusetts"
"1400000US25009217400","5551","430","4975","472","58","69","73","53","142","130","303","190","Census Tract 2174, Essex County, Massachusetts"
"1400000US25009217500","5968","431","5578","430","0","127","57","49","176","115","157","109","Census Tract 2175, Essex County, Massachusetts"
"1400000US25009217600","8526","784","8173","747","0","127","44","39","233","97","76","61","Census Tract 2176, Essex County, Massachusetts"
"1400000US25009218100","5129","31","4811","122","0","127","95","90","129","65","94","57","Census Tract 2181, Essex County, Massachusetts"
"1400000US25009220101","4225","381","4078","370","0","127","7","12","51","43","89","64","Census Tract 2201.01, Essex County, Massachusetts"
"1400000US25009220102","2828","384","2693","367","0","127","0","127","79","53","56","65","Census Tract 2201.02, Essex County, Massachusetts"
"1400000US25009221100","4729","297","4440","286","0","127","31","37","191","134","67","45","Census Tract 2211, Essex County, Massachusetts"
"1400000US25009221300","4696","518","4425","502","0","127","10","16","168","112","93","62","Census Tract 2213, Essex County, Massachusetts"
"1400000US25009221400","3167","417","2753","398","33","52","0","127","133","85","248","151","Census Tract 2214, Essex County, Massachusetts"
"1400000US25009221500","2943","303","2610","314","0","127","22","24","98","116","213","163","Census Tract 2215, Essex County, Massachusetts"
"1400000US25009221600","2433","192","2279","213","54","77","33","42","48","30","19","27","Census Tract 2216, Essex County, Massachusetts"
"1400000US25009221700","2406","216","2190","230","0","127","26","25","128","59","62","58","Census Tract 2217, Essex County, Massachusetts"
"1400000US25009221800","1772","238","1625","246","0","127","10","16","111","76","26","29","Census Tract 2218, Essex County, Massachusetts"
"1400000US25009221901","3180","412","2946","389","0","127","13","23","176","102","45","43","Census Tract 2219.01, Essex County, Massachusetts"
"1400000US25009221902","3567","269","3348","284","0","127","11","20","127","75","81","53","Census Tract 2219.02, Essex County, Massachusetts"
"1400000US25009222100","3445","14","3367","49","0","127","10","14","30","37","38","34","Census Tract 2221, Essex County, Massachusetts"
"1400000US25009223100","3927","273","3696","228","16","25","69","60","105","64","41","42","Census Tract 2231, Essex County, Massachusetts"
"1400000US25009223200","3725","281","3413","308","0","127","20","30","145","76","147","88","Census Tract 2232, Essex County, Massachusetts"
"1400000US25009223300","5422","365","5276","360","0","127","16","26","130","76","0","127","Census Tract 2233, Essex County, Massachusetts"
"1400000US25009250100","2130","366","775","291","673","232","27","28","296","112","359","177","Census Tract 2501, Essex County, Massachusetts"
"1400000US25009250200","5496","515","2866","455","617","221","25","41","922","236","1066","287","Census Tract 2502, Essex County, Massachusetts"
"1400000US25009250300","2335","296","735","212","165","153","82","68","569","181","784","252","Census Tract 2503, Essex County, Massachusetts"
"1400000US25009250400","3352","397","1269","345","231","116","24","44","542","217","1286","309","Census Tract 2504, Essex County, Massachusetts"
"1400000US25009250500","4113","456","1541","339","404","208","25","40","668","191","1475","415","Census Tract 2505, Essex County, Massachusetts"
"1400000US25009250600","5477","506","2986","388","315","158","79","68","836","228","1261","392","Census Tract 2506, Essex County, Massachusetts"
"1400000US25009250700","4538","534","2037","405","472","205","81","75","819","242","1129","332","Census Tract 2507, Essex County, Massachusetts"
"1400000US25009250800","7782","634","4722","598","627","295","149","137","1172","303","1112","417","Census Tract 2508, Essex County, Massachusetts"
"1400000US25009250900","2090","283","735","252","340","191","24","29","344","137","647","220","Census Tract 2509, Essex County, Massachusetts"
"1400000US25009251000","1610","334","777","277","290","137","18","30","313","142","212","127","Census Tract 2510, Essex County, Massachusetts"
