"GEO_ID","B12001_001E","B12001_001M","B12001_002E","B12001_002M","B12001_003E","B12001_003M","B12001_004E","B12001_004M","B12001_005E","B12001_005M","B12001_006E","B12001_006M","B12001_007E","B12001_007M","B12001_008E","B12001_008M","B12001_009E","B12001_009M","B12001_010E","B12001_010M","B12001_011E","B12001_011M","B12001_012E","B12001_012M","B12001_013E","B12001_013M","B12001_014E","B12001_014M","B12001_015E","B12001_015M","B12001_016E","B12001_016M","B12001_017E","B12001_017M","B12001_018E","B12001_018M","B12001_019E","B12001_019M","NAME"
"id","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Never married","Margin of Error!!Total!!Male!!Never married","Estimate!!Total!!Male!!Now married","Margin of Error!!Total!!Male!!Now married","Estimate!!Total!!Male!!Now married!!Married, spouse present","Margin of Error!!Total!!Male!!Now married!!Married, spouse present","Estimate!!Total!!Male!!Now married!!Married, spouse absent","Margin of Error!!Total!!Male!!Now married!!Married, spouse absent","Estimate!!Total!!Male!!Now married!!Married, spouse absent!!Separated","Margin of Error!!Total!!Male!!Now married!!Married, spouse absent!!Separated","Estimate!!Total!!Male!!Now married!!Married, spouse absent!!Other","Margin of Error!!Total!!Male!!Now married!!Married, spouse absent!!Other","Estimate!!Total!!Male!!Widowed","Margin of Error!!Total!!Male!!Widowed","Estimate!!Total!!Male!!Divorced","Margin of Error!!Total!!Male!!Divorced","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Never married","Margin of Error!!Total!!Female!!Never married","Estimate!!Total!!Female!!Now married","Margin of Error!!Total!!Female!!Now married","Estimate!!Total!!Female!!Now married!!Married, spouse present","Margin of Error!!Total!!Female!!Now married!!Married, spouse present","Estimate!!Total!!Female!!Now married!!Married, spouse absent","Margin of Error!!Total!!Female!!Now married!!Married, spouse absent","Estimate!!Total!!Female!!Now married!!Married, spouse absent!!Separated","Margin of Error!!Total!!Female!!Now married!!Married, spouse absent!!Separated","Estimate!!Total!!Female!!Now married!!Married, spouse absent!!Other","Margin of Error!!Total!!Female!!Now married!!Married, spouse absent!!Other","Estimate!!Total!!Female!!Widowed","Margin of Error!!Total!!Female!!Widowed","Estimate!!Total!!Female!!Divorced","Margin of Error!!Total!!Female!!Divorced","Geographic Area Name"
"1400000US25009201100","2912","132","1373","104","378","93","724","94","702","94","22","24","10","16","12","18","31","28","240","85","1539","122","471","105","713","94","693","90","20","23","10","16","10","16","194","78","161","72","Census Tract 2011, Essex County, Massachusetts"
"1400000US25009202101","1671","223","706","137","184","101","456","96","456","96","0","127","0","127","0","127","12","19","54","45","965","149","228","108","484","89","451","94","33","36","17","26","16","25","26","28","227","90","Census Tract 2021.01, Essex County, Massachusetts"
"1400000US25009202102","5136","257","2094","168","527","151","1306","170","1226","157","80","71","55","68","25","27","124","52","137","88","3042","253","852","214","1290","161","1227","156","63","51","29","33","34","34","561","146","339","114","Census Tract 2021.02, Essex County, Massachusetts"
"1400000US25009202200","4572","227","1948","165","291","117","1529","122","1469","126","60","86","0","127","60","86","59","48","69","50","2624","193","512","150","1584","121","1462","129","122","112","50","46","72","103","312","151","216","116","Census Tract 2022, Essex County, Massachusetts"
"1400000US25009203100","4938","242","2412","173","470","144","1749","139","1737","141","12","19","12","19","0","127","42","41","151","149","2526","153","525","151","1745","143","1729","138","16","27","16","27","0","127","76","53","180","99","Census Tract 2031, Essex County, Massachusetts"
"1400000US25009203200","3499","195","1644","142","424","109","1101","82","1083","82","18","21","0","127","18","21","48","35","71","37","1855","137","396","101","1122","84","1074","79","48","34","21","25","27","27","163","58","174","71","Census Tract 2032, Essex County, Massachusetts"
"1400000US25009203301","3487","232","1566","166","345","125","1025","134","1015","136","10","17","10","17","0","127","12","20","184","89","1921","165","537","143","1040","140","999","136","41","32","26","29","15","25","182","99","162","78","Census Tract 2033.01, Essex County, Massachusetts"
"1400000US25009203302","3785","218","1846","152","446","122","1118","133","1094","130","24","30","24","30","0","127","103","88","179","67","1939","145","263","100","1170","129","1100","130","70","64","0","127","70","64","192","69","314","107","Census Tract 2033.02, Essex County, Massachusetts"
"1400000US25009204101","4172","550","1783","268","862","238","659","140","630","137","29","27","20","23","9","14","78","76","184","83","2389","365","1367","354","650","137","616","131","34","31","16","20","18","22","136","76","236","84","Census Tract 2041.01, Essex County, Massachusetts"
