"GEO_ID","B23020_001E","B23020_001M","B23020_002E","B23020_002M","B23020_003E","B23020_003M","NAME"
"id","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Geographic Area Name"
"1400000US25009201100","36.6","2.0","38.7","2.6","34.5","2.5","Census Tract 2011, Essex County, Massachusetts"
"1400000US25009202101","40.5","2.3","45.2","2.9","36.4","3.7","Census Tract 2021.01, Essex County, Massachusetts"
"1400000US25009202102","36.7","1.5","40.8","1.7","33.2","1.9","Census Tract 2021.02, Essex County, Massachusetts"
"1400000US25009202200","39.1","1.8","46.6","2.5","32.3","2.3","Census Tract 2022, Essex County, Massachusetts"
"1400000US25009203100","39.6","1.4","44.9","2.0","33.4","2.0","Census Tract 2031, Essex County, Massachusetts"
"1400000US25009203200","38.2","1.7","43.5","2.2","32.8","2.1","Census Tract 2032, Essex County, Massachusetts"
"1400000US25009203301","39.0","1.6","46.4","2.0","32.4","2.1","Census Tract 2033.01, Essex County, Massachusetts"
"1400000US25009203302","40.2","1.6","45.9","2.3","34.6","2.7","Census Tract 2033.02, Essex County, Massachusetts"
"1400000US25009204101","33.6","2.4","36.2","2.8","31.5","2.6","Census Tract 2041.01, Essex County, Massachusetts"
"1400000US25009204102","35.4","1.7","37.5","2.0","33.5","2.1","Census Tract 2041.02, Essex County, Massachusetts"
"1400000US25009204200","37.5","1.7","41.4","2.2","32.7","2.1","Census Tract 2042, Essex County, Massachusetts"
"1400000US25009204300","37.5","1.8","38.9","3.0","36.3","1.9","Census Tract 2043, Essex County, Massachusetts"
"1400000US25009204400","39.3","1.0","40.9","1.5","37.7","1.7","Census Tract 2044, Essex County, Massachusetts"
"1400000US25009204500","38.6","1.7","43.5","2.6","33.8","1.7","Census Tract 2045, Essex County, Massachusetts"
"1400000US25009204600","38.2","2.1","39.8","2.6","36.6","2.2","Census Tract 2046, Essex County, Massachusetts"
"1400000US25009204701","37.8","1.5","39.4","2.3","36.5","1.7","Census Tract 2047.01, Essex County, Massachusetts"
"1400000US25009204702","38.4","1.7","42.1","2.2","35.0","1.9","Census Tract 2047.02, Essex County, Massachusetts"
"1400000US25009205100","38.2","1.7","41.8","3.0","35.0","1.4","Census Tract 2051, Essex County, Massachusetts"
"1400000US25009205200","39.3","2.0","41.9","3.4","37.1","2.3","Census Tract 2052, Essex County, Massachusetts"
