"GEO_ID","B25024_001E","B25024_001M","B25024_002E","B25024_002M","B25024_003E","B25024_003M","B25024_004E","B25024_004M","B25024_005E","B25024_005M","B25024_006E","B25024_006M","B25024_007E","B25024_007M","B25024_008E","B25024_008M","B25024_009E","B25024_009M","B25024_010E","B25024_010M","B25024_011E","B25024_011M","NAME"
"id","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!1, detached","Margin of Error!!Total!!1, detached","Estimate!!Total!!1, attached","Margin of Error!!Total!!1, attached","Estimate!!Total!!2","Margin of Error!!Total!!2","Estimate!!Total!!3 or 4","Margin of Error!!Total!!3 or 4","Estimate!!Total!!5 to 9","Margin of Error!!Total!!5 to 9","Estimate!!Total!!10 to 19","Margin of Error!!Total!!10 to 19","Estimate!!Total!!20 to 49","Margin of Error!!Total!!20 to 49","Estimate!!Total!!50 or more","Margin of Error!!Total!!50 or more","Estimate!!Total!!Mobile home","Margin of Error!!Total!!Mobile home","Estimate!!Total!!Boat, RV, van, etc.","Margin of Error!!Total!!Boat, RV, van, etc.","Geographic Area Name"
"1400000US25009201100","1534","140","1106","146","37","34","103","59","105","59","74","36","67","42","42","35","0","127","0","127","0","127","Census Tract 2011, Essex County, Massachusetts"
"1400000US25009202101","776","72","546","97","16","26","130","65","62","42","22","26","0","127","0","127","0","127","0","127","0","127","Census Tract 2021.01, Essex County, Massachusetts"
"1400000US25009202102","2642","100","1124","148","237","72","345","132","200","99","66","46","12","19","233","99","425","107","0","127","0","127","Census Tract 2021.02, Essex County, Massachusetts"
"1400000US25009202200","2298","109","1699","151","76","59","335","125","96","84","0","127","0","127","47","73","45","28","0","127","0","127","Census Tract 2022, Essex County, Massachusetts"
"1400000US25009203100","2471","102","2230","129","27","28","127","95","27","31","0","127","0","127","60","59","0","127","0","127","0","127","Census Tract 2031, Essex County, Massachusetts"
"1400000US25009203200","1969","70","1569","101","77","40","57","47","82","60","54","48","18","22","85","54","27","41","0","127","0","127","Census Tract 2032, Essex County, Massachusetts"
"1400000US25009203301","1972","97","1235","136","94","57","193","108","334","106","60","46","0","127","12","20","44","58","0","127","0","127","Census Tract 2033.01, Essex County, Massachusetts"
"1400000US25009203302","2248","96","1141","145","200","79","252","116","218","88","326","128","57","40","40","37","14","25","0","127","0","127","Census Tract 2033.02, Essex County, Massachusetts"
"1400000US25009204101","1900","67","477","107","69","50","389","118","640","137","176","88","75","44","48","44","26","27","0","127","0","127","Census Tract 2041.01, Essex County, Massachusetts"
"1400000US25009204102","1966","63","690","108","392","97","152","66","106","55","217","75","21","26","67","34","321","87","0","127","0","127","Census Tract 2041.02, Essex County, Massachusetts"
"1400000US25009204200","2419","115","329","102","67","47","562","179","574","150","315","132","180","98","277","121","115","88","0","127","0","127","Census Tract 2042, Essex County, Massachusetts"
"1400000US25009204300","1724","86","59","44","120","68","35","32","520","127","506","128","237","82","118","59","129","59","0","127","0","127","Census Tract 2043, Essex County, Massachusetts"
"1400000US25009204400","1803","68","522","101","73","45","388","119","470","118","233","97","81","62","36","47","0","127","0","127","0","127","Census Tract 2044, Essex County, Massachusetts"
"1400000US25009204500","1775","84","411","102","13","21","234","103","260","115","177","103","208","91","277","97","195","62","0","127","0","127","Census Tract 2045, Essex County, Massachusetts"
"1400000US25009204600","2209","100","906","155","12","20","725","160","474","146","66","52","0","127","26","29","0","127","0","127","0","127","Census Tract 2046, Essex County, Massachusetts"
"1400000US25009204701","2561","128","611","111","497","110","98","68","376","118","145","88","58","63","217","109","559","170","0","127","0","127","Census Tract 2047.01, Essex County, Massachusetts"
"1400000US25009204702","2379","86","1112","145","52","63","331","120","380","149","117","107","138","82","228","135","21","27","0","127","0","127","Census Tract 2047.02, Essex County, Massachusetts"
"1400000US25009205100","2178","81","1563","127","28","32","297","124","95","77","60","69","35","29","100","49","0","127","0","127","0","127","Census Tract 2051, Essex County, Massachusetts"
"1400000US25009205200","2123","107","1088","156","133","117","408","140","176","88","54","55","159","101","88","50","17","27","0","127","0","127","Census Tract 2052, Essex County, Massachusetts"
"1400000US25009205300","1698","54","1364","117","40","49","214","90","51","54","0","127","29","32","0","127","0","127","0","127","0","127","Census Tract 2053, Essex County, Massachusetts"
"1400000US25009205400","1756","53","1728","59","0","127","28","24","0","127","0","127","0","127","0","127","0","127","0","127","0","127","Census Tract 2054, Essex County, Massachusetts"
"1400000US25009205500","1734","59","461","90","62","44","471","123","437","120","95","74","38","34","36","30","134","48","0","127","0","127","Census Tract 2055, Essex County, Massachusetts"
"1400000US25009205600","1632","53","685","117","266","95","88","52","137","87","126","73","0","127","196","99","134","56","0","127","0","127","Census Tract 2056, Essex County, Massachusetts"
"1400000US25009205700","1748","86","947","160","130","77","365","143","156","103","12","19","138","85","0","127","0","127","0","127","0","127","Census Tract 2057, Essex County, Massachusetts"
"1400000US25009205800","1255","64","314","103","44","32","294","137","438","119","74","46","59","38","32","24","0","127","0","127","0","127","Census Tract 2058, Essex County, Massachusetts"
"1400000US25009205900","1609","58","594","108","34","36","409","130","413","135","104","98","12","18","0","127","36","28","7","13","0","127","Census Tract 2059, Essex County, Massachusetts"
"1400000US25009206000","1202","51","151","67","31","45","199","82","242","89","134","74","190","92","237","85","18","29","0","127","0","127","Census Tract 2060, Essex County, Massachusetts"
"1400000US25009206100","1502","68","34","35","19","33","243","107","448","155","201","101","175","75","287","109","95","54","0","127","0","127","Census Tract 2061, Essex County, Massachusetts"
"1400000US25009206200","1787","87","181","73","129","80","392","142","702","155","154","87","116","64","113","55","0","127","0","127","0","127","Census Tract 2062, Essex County, Massachusetts"
"1400000US25009206300","1380","65","477","113","53","37","357","104","309","103","92","54","22","32","35","29","35","49","0","127","0","127","Census Tract 2063, Essex County, Massachusetts"
"1400000US25009206400","2086","89","810","118","58","38","612","160","401","126","17","28","63","73","108","62","17","25","0","127","0","127","Census Tract 2064, Essex County, Massachusetts"
"1400000US25009206500","1251","45","276","100","0","127","387","122","430","128","65","49","61","51","19","22","13","20","0","127","0","127","Census Tract 2065, Essex County, Massachusetts"
"1400000US25009206600","2156","68","359","128","178","119","300","118","649","171","168","117","36","31","201","89","265","82","0","127","0","127","Census Tract 2066, Essex County, Massachusetts"
"1400000US25009206700","2169","98","282","107","48","38","429","169","270","141","320","120","249","109","271","109","300","94","0","127","0","127","Census Tract 2067, Essex County, Massachusetts"
"1400000US25009206800","1522","99","143","68","27","32","102","54","184","82","34","36","145","77","456","105","431","120","0","127","0","127","Census Tract 2068, Essex County, Massachusetts"
"1400000US25009206900","2709","80","168","107","55","57","71","60","410","175","207","113","284","98","500","140","1014","191","0","127","0","127","Census Tract 2069, Essex County, Massachusetts"
"1400000US25009207000","1089","41","42","34","79","56","98","61","141","80","26","36","161","85","137","64","405","87","0","127","0","127","Census Tract 2070, Essex County, Massachusetts"
"1400000US25009207100","1195","68","246","101","76","48","164","90","464","118","115","82","88","60","42","41","0","127","0","127","0","127","Census Tract 2071, Essex County, Massachusetts"
"1400000US25009207200","1160","101","150","56","15","26","87","54","301","116","30","36","156","78","100","72","321","79","0","127","0","127","Census Tract 2072, Essex County, Massachusetts"
"1400000US25009208101","1944","66","1168","140","23","26","533","146","118","70","49","37","43","45","0","127","0","127","10","14","0","127","Census Tract 2081.01, Essex County, Massachusetts"
"1400000US25009208102","1181","59","767","81","26","24","278","91","91","58","9","15","0","127","0","127","10","16","0","127","0","127","Census Tract 2081.02, Essex County, Massachusetts"
"1400000US25009208200","2222","95","1368","159","54","69","183","104","98","80","157","84","82","76","54","36","188","77","38","60","0","127","Census Tract 2082, Essex County, Massachusetts"
"1400000US25009208300","2711","96","2188","158","49","39","52","60","70","57","0","127","45","35","210","65","12","18","85","73","0","127","Census Tract 2083, Essex County, Massachusetts"
"1400000US25009208400","2287","74","1477","105","254","70","66","52","33","31","184","84","175","65","28","24","70","38","0","127","0","127","Census Tract 2084, Essex County, Massachusetts"
"1400000US25009209100","2339","97","2037","133","55","70","53","81","65","69","41","62","74","41","14","24","0","127","0","127","0","127","Census Tract 2091, Essex County, Massachusetts"
"1400000US25009209200","1979","77","1782","79","60","41","8","13","100","45","29","24","0","127","0","127","0","127","0","127","0","127","Census Tract 2092, Essex County, Massachusetts"
"1400000US25009210100","2521","71","2146","126","27","31","0","127","0","127","0","127","0","127","0","127","0","127","348","109","0","127","Census Tract 2101, Essex County, Massachusetts"
"1400000US25009210200","1971","61","1419","161","341","92","96","103","46","57","0","127","0","127","0","127","0","127","69","47","0","127","Census Tract 2102, Essex County, Massachusetts"
"1400000US25009210300","4404","140","1216","179","179","64","93","82","19","20","96","43","603","150","708","155","1302","154","162","72","26","42","Census Tract 2103, Essex County, Massachusetts"
"1400000US25009210400","2811","64","1573","152","201","97","162","91","304","126","311","125","180","76","66","39","14","24","0","127","0","127","Census Tract 2104, Essex County, Massachusetts"
"1400000US25009210500","2333","59","1904","143","188","96","111","69","12","19","0","127","0","127","0","127","90","39","28","38","0","127","Census Tract 2105, Essex County, Massachusetts"
"1400000US25009210600","1641","48","869","114","60","44","244","112","209","86","70","78","21","25","105","60","63","53","0","127","0","127","Census Tract 2106, Essex County, Massachusetts"
"1400000US25009210700","1737","72","524","97","55","29","399","112","274","112","201","94","143","64","141","67","0","127","0","127","0","127","Census Tract 2107, Essex County, Massachusetts"
"1400000US25009210800","2194","98","293","91","56","39","275","101","505","151","27","30","56","59","201","87","781","146","0","127","0","127","Census Tract 2108, Essex County, Massachusetts"
"1400000US25009210900","1617","82","855","124","69","65","258","104","175","94","51","61","69","68","36","30","104","47","0","127","0","127","Census Tract 2109, Essex County, Massachusetts"
"1400000US25009211100","1606","53","891","89","47","27","161","80","122","77","220","72","63","29","26","18","76","51","0","127","0","127","Census Tract 2111, Essex County, Massachusetts"
"1400000US25009211200","2879","128","1201","173","178","72","310","117","305","130","327","155","283","106","243","83","32","38","0","127","0","127","Census Tract 2112, Essex County, Massachusetts"
"1400000US25009211300","2591","84","2181","128","160","100","12","19","37","60","15","24","0","127","43","41","129","42","14","22","0","127","Census Tract 2113, Essex County, Massachusetts"
"1400000US25009211401","1309","66","534","69","19","21","30","35","0","127","64","63","89","64","279","111","194","77","100","55","0","127","Census Tract 2114.01, Essex County, Massachusetts"
"1400000US25009211402","2546","106","1586","148","347","87","164","74","39","29","116","64","67","33","108","56","28","32","91","46","0","127","Census Tract 2114.02, Essex County, Massachusetts"
"1400000US25009212100","2910","197","1881","167","256","79","109","77","157","102","144","104","0","127","47","37","316","124","0","127","0","127","Census Tract 2121, Essex County, Massachusetts"
"1400000US25009213100","2648","166","2535","164","17","20","33","27","31","23","21","24","0","127","11","17","0","127","0","127","0","127","Census Tract 2131, Essex County, Massachusetts"
"1400000US25009214100","2067","126","1791","139","26","31","113","72","69","49","50","35","0","127","0","127","18","29","0","127","0","127","Census Tract 2141, Essex County, Massachusetts"
"1400000US25009215101","1546","113","1210","124","47","43","11","18","0","127","11","17","0","127","212","82","55","55","0","127","0","127","Census Tract 2151.01, Essex County, Massachusetts"
"1400000US25009215102","1139","73","974","118","38","34","34","31","65","86","28","24","0","127","0","127","0","127","0","127","0","127","Census Tract 2151.02, Essex County, Massachusetts"
"1400000US25009216100","1377","169","1150","150","68","53","22","25","16","19","82","40","29","25","10","15","0","127","0","127","0","127","Census Tract 2161, Essex County, Massachusetts"
"1400000US25009217100","3012","103","1901","155","184","89","131","63","106","78","166","65","278","117","157","75","89","58","0","127","0","127","Census Tract 2171, Essex County, Massachusetts"
"1400000US25009217201","1887","70","1052","110","57","43","95","84","52","48","161","76","159","65","208","78","103","61","0","127","0","127","Census Tract 2172.01, Essex County, Massachusetts"
"1400000US25009217202","1510","59","1140","113","31","28","172","81","59","62","0","127","14","22","40","49","54","30","0","127","0","127","Census Tract 2172.02, Essex County, Massachusetts"
"1400000US25009217300","1959","95","673","122","144","75","318","102","372","136","212","106","54","40","111","91","66","36","9","15","0","127","Census Tract 2173, Essex County, Massachusetts"
"1400000US25009217400","2935","151","267","95","116","70","493","138","778","189","405","145","272","124","200","104","404","125","0","127","0","127","Census Tract 2174, Essex County, Massachusetts"
"1400000US25009217500","2783","123","1533","168","33","39","359","146","331","150","429","143","33","35","65","43","0","127","0","127","0","127","Census Tract 2175, Essex County, Massachusetts"
"1400000US25009217600","2794","134","2021","145","58","35","97","80","105","96","41","32","44","34","75","84","311","89","42","67","0","127","Census Tract 2176, Essex County, Massachusetts"
"1400000US25009218100","2306","149","1509","184","71","50","238","114","223","106","202","85","26","32","37","43","0","127","0","127","0","127","Census Tract 2181, Essex County, Massachusetts"
"1400000US25009220101","2653","193","1697","207","68","72","464","164","208","103","155","89","12","20","49","29","0","127","0","127","0","127","Census Tract 2201.01, Essex County, Massachusetts"
"1400000US25009220102","1557","120","1037","138","157","96","89","54","59","61","110","66","69","47","26","22","0","127","10","16","0","127","Census Tract 2201.02, Essex County, Massachusetts"
"1400000US25009221100","2132","95","1841","120","76","42","177","69","29","27","0","127","0","127","0","127","9","15","0","127","0","127","Census Tract 2211, Essex County, Massachusetts"
"1400000US25009221300","2589","105","1588","180","144","70","410","170","161","86","103","92","71","91","59","90","0","127","53","79","0","127","Census Tract 2213, Essex County, Massachusetts"
"1400000US25009221400","1449","94","402","119","8","14","615","140","323","93","69","50","0","127","23","36","9","14","0","127","0","127","Census Tract 2214, Essex County, Massachusetts"
"1400000US25009221500","1647","102","124","56","0","127","384","117","602","140","167","72","62","45","22","23","286","76","0","127","0","127","Census Tract 2215, Essex County, Massachusetts"
