"GEO_ID","B25034_001E","B25034_001M","B25034_002E","B25034_002M","B25034_003E","B25034_003M","B25034_004E","B25034_004M","B25034_005E","B25034_005M","B25034_006E","B25034_006M","B25034_007E","B25034_007M","B25034_008E","B25034_008M","B25034_009E","B25034_009M","B25034_010E","B25034_010M","NAME"
"id","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Built 2005 or later","Margin of Error!!Total!!Built 2005 or later","Estimate!!Total!!Built 2000 to 2004","Margin of Error!!Total!!Built 2000 to 2004","Estimate!!Total!!Built 1990 to 1999","Margin of Error!!Total!!Built 1990 to 1999","Estimate!!Total!!Built 1980 to 1989","Margin of Error!!Total!!Built 1980 to 1989","Estimate!!Total!!Built 1970 to 1979","Margin of Error!!Total!!Built 1970 to 1979","Estimate!!Total!!Built 1960 to 1969","Margin of Error!!Total!!Built 1960 to 1969","Estimate!!Total!!Built 1950 to 1959","Margin of Error!!Total!!Built 1950 to 1959","Estimate!!Total!!Built 1940 to 1949","Margin of Error!!Total!!Built 1940 to 1949","Estimate!!Total!!Built 1939 or earlier","Margin of Error!!Total!!Built 1939 or earlier","Geographic Area Name"
"1400000US25009201100","1534","140","17","21","18","21","12","18","94","50","138","57","76","39","225","84","62","36","892","125","Census Tract 2011, Essex County, Massachusetts"
"1400000US25009202101","776","72","0","127","0","127","16","26","67","42","38","35","39","38","39","47","97","54","480","98","Census Tract 2021.01, Essex County, Massachusetts"
"1400000US25009202102","2642","100","0","127","28","34","63","44","356","120","616","132","229","108","201","112","88","62","1061","152","Census Tract 2021.02, Essex County, Massachusetts"
"1400000US25009202200","2298","109","15","26","0","127","93","48","22","33","26","30","201","86","480","153","202","102","1259","176","Census Tract 2022, Essex County, Massachusetts"
"1400000US25009203100","2471","102","18","19","10","17","121","77","155","95","150","113","272","107","653","148","359","109","733","159","Census Tract 2031, Essex County, Massachusetts"
"1400000US25009203200","1969","70","8","13","0","127","41","31","161","59","120","49","298","85","408","96","213","75","720","117","Census Tract 2032, Essex County, Massachusetts"
"1400000US25009203301","1972","97","0","127","0","127","29","34","114","76","146","109","170","83","370","114","145","78","998","143","Census Tract 2033.01, Essex County, Massachusetts"
"1400000US25009203302","2248","96","76","49","25","29","26","39","134","80","188","95","365","132","166","80","123","60","1145","172","Census Tract 2033.02, Essex County, Massachusetts"
"1400000US25009204101","1900","67","0","127","0","127","8","13","9","14","97","57","114","74","219","89","65","40","1388","144","Census Tract 2041.01, Essex County, Massachusetts"
"1400000US25009204102","1966","63","0","127","93","55","161","63","614","115","283","103","109","67","215","71","141","68","350","83","Census Tract 2041.02, Essex County, Massachusetts"
"1400000US25009204200","2419","115","0","127","0","127","0","127","105","58","98","85","88","60","112","71","112","81","1904","159","Census Tract 2042, Essex County, Massachusetts"
"1400000US25009204300","1724","86","47","34","36","44","32","39","51","41","85","71","45","43","120","62","58","42","1250","125","Census Tract 2043, Essex County, Massachusetts"
"1400000US25009204400","1803","68","20","22","34","31","12","18","33","24","11","19","47","42","138","51","21","21","1487","98","Census Tract 2044, Essex County, Massachusetts"
