"GEO_ID","B25077_001E","B25077_001M","NAME"
"id","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)","Geographic Area Name"
"1400000US25009201100","576300","47657","Census Tract 2011, Essex County, Massachusetts"
"1400000US25009202101","465900","46852","Census Tract 2021.01, Essex County, Massachusetts"
"1400000US25009202102","335000","15250","Census Tract 2021.02, Essex County, Massachusetts"
"1400000US25009202200","569300","38263","Census Tract 2022, Essex County, Massachusetts"
"1400000US25009203100","597600","20045","Census Tract 2031, Essex County, Massachusetts"
"1400000US25009203200","691400","56421","Census Tract 2032, Essex County, Massachusetts"
"1400000US25009203301","497500","38622","Census Tract 2033.01, Essex County, Massachusetts"
"1400000US25009203302","623800","40259","Census Tract 2033.02, Essex County, Massachusetts"
"1400000US25009204101","350600","26961","Census Tract 2041.01, Essex County, Massachusetts"
"1400000US25009204102","336000","12767","Census Tract 2041.02, Essex County, Massachusetts"
"1400000US25009204200","332900","30688","Census Tract 2042, Essex County, Massachusetts"
"1400000US25009204300","273400","49689","Census Tract 2043, Essex County, Massachusetts"
"1400000US25009204400","355600","31418","Census Tract 2044, Essex County, Massachusetts"
"1400000US25009204500","297700","30273","Census Tract 2045, Essex County, Massachusetts"
"1400000US25009204600","346600","16176","Census Tract 2046, Essex County, Massachusetts"
"1400000US25009204701","327300","16491","Census Tract 2047.01, Essex County, Massachusetts"
"1400000US25009204702","334600","12778","Census Tract 2047.02, Essex County, Massachusetts"
"1400000US25009205100","294500","18178","Census Tract 2051, Essex County, Massachusetts"
"1400000US25009205200","278100","10906","Census Tract 2052, Essex County, Massachusetts"
"1400000US25009205300","305000","16991","Census Tract 2053, Essex County, Massachusetts"
"1400000US25009205400","349200","10275","Census Tract 2054, Essex County, Massachusetts"
"1400000US25009205500","243300","14554","Census Tract 2055, Essex County, Massachusetts"
"1400000US25009205600","273700","16971","Census Tract 2056, Essex County, Massachusetts"
"1400000US25009205700","272200","8784","Census Tract 2057, Essex County, Massachusetts"
"1400000US25009205800","232500","15216","Census Tract 2058, Essex County, Massachusetts"
"1400000US25009205900","265900","28640","Census Tract 2059, Essex County, Massachusetts"
"1400000US25009206000","263000","40060","Census Tract 2060, Essex County, Massachusetts"
"1400000US25009206100","333600","34056","Census Tract 2061, Essex County, Massachusetts"
"1400000US25009206200","352200","25037","Census Tract 2062, Essex County, Massachusetts"
"1400000US25009206300","261900","27968","Census Tract 2063, Essex County, Massachusetts"
"1400000US25009206400","267300","21872","Census Tract 2064, Essex County, Massachusetts"
"1400000US25009206500","257800","32450","Census Tract 2065, Essex County, Massachusetts"
"1400000US25009206600","299300","44109","Census Tract 2066, Essex County, Massachusetts"
"1400000US25009206700","233000","48698","Census Tract 2067, Essex County, Massachusetts"
"1400000US25009206800","244800","36337","Census Tract 2068, Essex County, Massachusetts"
"1400000US25009206900","242300","38072","Census Tract 2069, Essex County, Massachusetts"
"1400000US25009207000","128800","33217","Census Tract 2070, Essex County, Massachusetts"
"1400000US25009207100","281300","75530","Census Tract 2071, Essex County, Massachusetts"
"1400000US25009207200","296600","58658","Census Tract 2072, Essex County, Massachusetts"
"1400000US25009208101","347900","16299","Census Tract 2081.01, Essex County, Massachusetts"
"1400000US25009208102","361200","25128","Census Tract 2081.02, Essex County, Massachusetts"
"1400000US25009208200","326100","16877","Census Tract 2082, Essex County, Massachusetts"
"1400000US25009208300","367000","13540","Census Tract 2083, Essex County, Massachusetts"
"1400000US25009208400","409900","38380","Census Tract 2084, Essex County, Massachusetts"
"1400000US25009209100","512800","41710","Census Tract 2091, Essex County, Massachusetts"
"1400000US25009209200","600400","28517","Census Tract 2092, Essex County, Massachusetts"
"1400000US25009210100","420300","16531","Census Tract 2101, Essex County, Massachusetts"
"1400000US25009210200","372900","11531","Census Tract 2102, Essex County, Massachusetts"
"1400000US25009210300","335800","16388","Census Tract 2103, Essex County, Massachusetts"
"1400000US25009210400","355700","12739","Census Tract 2104, Essex County, Massachusetts"
"1400000US25009210500","361800","13557","Census Tract 2105, Essex County, Massachusetts"
"1400000US25009210600","340100","12821","Census Tract 2106, Essex County, Massachusetts"
"1400000US25009210700","326100","15651","Census Tract 2107, Essex County, Massachusetts"
"1400000US25009210800","331100","20512","Census Tract 2108, Essex County, Massachusetts"
