"B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","id","Geographic Area Name"
"3502","20","3358","76","0","12","0","12","78","55","0","12","33","37","33","32","1","2","32","32","1400000US25009201100","Census Tract 2011, Essex County, Massachusetts"
"2179","150","1968","200","115","159","0","12","66","48","0","12","0","12","30","31","0","12","30","31","1400000US25009202101","Census Tract 2021.01, Essex County, Massachusetts"
"6688","361","6266","323","36","42","0","17","45","34","0","17","94","103","247","237","0","17","247","237","1400000US25009202102","Census Tract 2021.02, Essex County, Massachusetts"
"6135","333","5797","404","75","113","0","17","220","269","0","17","1","3","42","49","21","32","21","34","1400000US25009202200","Census Tract 2022, Essex County, Massachusetts"
"7014","374","6513","412","179","235","0","17","160","112","0","17","37","45","125","110","0","17","125","110","1400000US25009203100","Census Tract 2031, Essex County, Massachusetts"
"4632","223","4592","228","0","12","0","12","22","35","0","12","0","12","18","30","0","12","18","30","1400000US25009203200","Census Tract 2032, Essex County, Massachusetts"
"4006","253","3814","251","8","13","0","12","105","80","0","12","30","46","49","39","10","16","39","43","1400000US25009203301","Census Tract 2033.01, Essex County, Massachusetts"
"4848","342","4678","362","148","144","0","12","0","12","0","12","22","34","0","12","0","12","0","12","1400000US25009203302","Census Tract 2033.02, Essex County, Massachusetts"
"4803","337","3724","401","291","178","12","18","171","110","0","12","534","254","71","46","11","16","60","42","1400000US25009204101","Census Tract 2041.01, Essex County, Massachusetts"
"5155","351","4151","401","489","299","0","17","38","49","0","17","182","146","295","198","75","81","220","181","1400000US25009204102","Census Tract 2041.02, Essex County, Massachusetts"
"4861","612","3818","609","306","299","134","158","13","29","0","12","266","201","324","300","42","66","282","307","1400000US25009204200","Census Tract 2042, Essex County, Massachusetts"
"4439","454","2216","340","642","529","27","45","101","63","0","12","1214","397","239","167","50","58","189","159","1400000US25009204300","Census Tract 2043, Essex County, Massachusetts"
"3361","265","2963","267","105","89","15","23","85","103","0","12","96","66","97","82","45","70","52","48","1400000US25009204400","Census Tract 2044, Essex County, Massachusetts"
"3406","265","2901","260","138","82","52","72","73","68","0","12","12","19","230","188","8","13","222","187","1400000US25009204500","Census Tract 2045, Essex County, Massachusetts"
"4806","464","4209","521","210","199","0","12","44","49","0","12","193","208","150","146","39","81","111","105","1400000US25009204600","Census Tract 2046, Essex County, Massachusetts"
"5980","501","4780","565","364","306","31","48","240","222","0","17","467","302","98","95","40","45","58","80","1400000US25009204701","Census Tract 2047.01, Essex County, Massachusetts"
"6441","435","5414","422","310","216","0","17","320","147","0","17","265","183","132","137","0","17","132","137","1400000US25009204702","Census Tract 2047.02, Essex County, Massachusetts"
"5660","808","3576","705","613","330","12","22","218","163","0","17","920","891","321","178","49","68","272","167","1400000US25009205100","Census Tract 2051, Essex County, Massachusetts"
"5395","657","2812","593","859","427","0","17","286","178","42","65","1373","672","23","36","0","17","23","36","1400000US25009205200","Census Tract 2052, Essex County, Massachusetts"
"4069","386","3355","350","44","50","0","12","161","99","0","12","483","437","26","31","0","12","26","31","1400000US25009205300","Census Tract 2053, Essex County, Massachusetts"
"4787","273","4387","292","84","79","11","16","65","48","0","12","66","64","174","93","16","22","158","90","1400000US25009205400","Census Tract 2054, Essex County, Massachusetts"
"5253","613","2263","607","541","236","0","17","399","103","0","17","1478","475","572","405","53","45","519","402","1400000US25009205500","Census Tract 2055, Essex County, Massachusetts"
"3432","250","2209","275","416","209","0","12","141","84","0","12","598","252","68","91","10","18","58","90","1400000US25009205600","Census Tract 2056, Essex County, Massachusetts"
"4798","368","2897","458","775","267","0","12","319","121","0","12","674","437","133","92","30","32","103","82","1400000US25009205700","Census Tract 2057, Essex County, Massachusetts"
"3717","444","1631","319","677","306","91","87","277","95","0","12","996","538","45","52","0","12","45","52","1400000US25009205800","Census Tract 2058, Essex County, Massachusetts"
"4255","301","2347","405","363","165","0","12","447","159","0","12","890","377","208","110","74","56","134","97","1400000US25009205900","Census Tract 2059, Essex County, Massachusetts"
"3300","329","965","292","505","153","0","12","357","209","0","12","1250","340","223","198","36","58","187","194","1400000US25009206000","Census Tract 2060, Essex County, Massachusetts"
"4288","397","1016","317","512","238","8","13","413","198","0","12","1819","360","520","308","238","169","282","308","1400000US25009206100","Census Tract 2061, Essex County, Massachusetts"
"5935","508","1783","474","781","228","14","26","352","163","50","73","2561","742","394","259","123","129","271","225","1400000US25009206200","Census Tract 2062, Essex County, Massachusetts"
"4755","476","1813","374","534","228","10","15","340","81","0","12","1565","491","493","301","142","137","351","270","1400000US25009206300","Census Tract 2063, Essex County, Massachusetts"
"5723","539","2678","374","766","298","56","85","337","199","0","17","1296","588","590","277","106","102","484","284","1400000US25009206400","Census Tract 2064, Essex County, Massachusetts"
"3325","468","998","309","693","340","58","90","319","226","0","12","817","335","440","390","0","12","440","390","1400000US25009206500","Census Tract 2065, Essex County, Massachusetts"
"4519","381","2500","360","707","238","48","73","336","165","0","12","596","304","332","322","12","20","320","322","1400000US25009206600","Census Tract 2066, Essex County, Massachusetts"
"3729","384","2218","328","597","342","0","12","278","185","0","12","336","190","300","205","40","36","260","201","1400000US25009206700","Census Tract 2067, Essex County, Massachusetts"
"4162","604","1398","472","676","274","14","25","233","201","0","12","1209","494","632","373","303","265","329","268","1400000US25009206800","Census Tract 2068, Essex County, Massachusetts"
"4286","458","2436","399","904","316","22","40","0","12","0","12","924","479","0","12","0","12","0","12","1400000US25009206900","Census Tract 2069, Essex County, Massachusetts"
"2361","311","639","266","763","244","0","12","144","141","0","12","658","269","157","133","81","69","76","104","1400000US25009207000","Census Tract 2070, Essex County, Massachusetts"
"3527","408","828","252","548","202","0","12","849","194","0","12","934","374","368","269","57","61","311","250","1400000US25009207100","Census Tract 2071, Essex County, Massachusetts"
"2467","251","779","251","444","203","13","25","554","279","0","12","510","306","167","135","135","120","32","46","1400000US25009207200","Census Tract 2072, Essex County, Massachusetts"
"4991","409","4625","428","32","34","0","12","250","188","0","12","0","12","84","65","0","12","84","65","1400000US25009208101","Census Tract 2081.01, Essex County, Massachusetts"
"3258","342","2818","358","141","157","0","12","189","163","0","12","18","35","92","101","13","20","79","100","1400000US25009208102","Census Tract 2081.02, Essex County, Massachusetts"
"5519","507","4873","523","317","267","96","117","113","124","0","17","79","126","41","48","14","25","27","42","1400000US25009208200","Census Tract 2082, Essex County, Massachusetts"
"8133","477","7422","598","69","60","0","17","160","183","0","17","226","252","256","179","0","17","256","179","1400000US25009208300","Census Tract 2083, Essex County, Massachusetts"
"6314","424","5853","481","35","52","0","17","353","127","0","17","59","95","14","28","14","28","0","17","1400000US25009208400","Census Tract 2084, Essex County, Massachusetts"
"6573","329","5976","348","155","143","0","17","260","178","0","17","18","29","164","150","0","17","164","150","1400000US25009209100","Census Tract 2091, Essex County, Massachusetts"
"6321","326","5929","389","3","8","0","17","304","161","0","17","2","5","83","89","0","17","83","89","1400000US25009209200","Census Tract 2092, Essex County, Massachusetts"
"6485","331","6444","334","41","42","0","17","0","17","0","17","0","17","0","17","0","17","0","17","1400000US25009210100","Census Tract 2101, Essex County, Massachusetts"
"5201","227","5081","223","33","27","0","17","40","38","0","17","0","17","47","62","0","17","47","62","1400000US25009210200","Census Tract 2102, Essex County, Massachusetts"
"9014","619","7942","634","202","220","123","114","290","217","0","17","216","217","241","243","0","17","241","243","1400000US25009210300","Census Tract 2103, Essex County, Massachusetts"
"7234","551","6500","654","600","441","0","17","92","214","0","17","20","35","22","36","0","17","22","36","1400000US25009210400","Census Tract 2104, Essex County, Massachusetts"
"6301","435","5640","693","165","153","0","17","51","61","0","17","66","99","379","346","297","367","82","84","1400000US25009210500","Census Tract 2105, Essex County, Massachusetts"
"4638","367","3880","410","421","225","69","94","57","67","0","12","38","48","173","107","11","16","162","105","1400000US25009210600","Census Tract 2106, Essex County, Massachusetts"
"4852","444","4032","528","290","144","0","12","14","20","0","12","371","228","145","106","95","83","50","60","1400000US25009210700","Census Tract 2107, Essex County, Massachusetts"
"4749","471","4015","480","175","151","0","12","0","12","0","12","211","155","348","225","146","115","202","203","1400000US25009210800","Census Tract 2108, Essex County, Massachusetts"
"4432","439","4029","421","74","80","0","12","46","43","0","12","186","172","97","76","0","12","97","76","1400000US25009210900","Census Tract 2109, Essex County, Massachusetts"
"4210","245","3884","248","75","102","0","12","112","127","0","12","99","93","40","39","0","12","40","39","1400000US25009211100","Census Tract 2111, Essex County, Massachusetts"
"6224","498","5832","439","2","3","16","28","132","122","0","17","48","84","194","202","0","17","194","202","1400000US25009211200","Census Tract 2112, Essex County, Massachusetts"
"6598","457","6151","436","55","66","0","17","108","111","0","17","16","25","268","204","0","17","268","204","1400000US25009211300","Census Tract 2113, Essex County, Massachusetts"
"4328","302","3574","335","363","343","0","12","227","144","0","12","87","109","77","67","26","30","51","48","1400000US25009211401","Census Tract 2114.01, Essex County, Massachusetts"
"6226","379","5844","348","178","198","0","17","136","147","0","17","0","17","68","77","0","17","68","77","1400000US25009211402","Census Tract 2114.02, Essex County, Massachusetts"
"9872","17","9172","166","145","61","5","10","123","75","0","17","92","76","335","134","9","16","326","137","1400000US25009212100","Census Tract 2121, Essex County, Massachusetts"
"8282","16","7830","212","0","17","0","17","163","119","0","17","0","17","289","161","0","17","289","161","1400000US25009213100","Census Tract 2131, Essex County, Massachusetts"
"6568","27","6318","166","9","15","0","17","172","149","0","17","16","24","53","62","0","17","53","62","1400000US25009214100","Census Tract 2141, Essex County, Massachusetts"
"4954","214","4363","248","19","19","0","12","466","270","17","31","25","40","64","52","2","4","62","51","1400000US25009215101","Census Tract 2151.01, Essex County, Massachusetts"
"3077","216","3035","220","2","5","0","12","12","21","0","12","1","5","27","45","0","12","27","45","1400000US25009215102","Census Tract 2151.02, Essex County, Massachusetts"
"5240","21","4842","129","141","72","0","17","175","74","4","8","20","17","58","44","19","25","39","37","1400000US25009216100","Census Tract 2161, Essex County, Massachusetts"
"7145","380","6561","486","95","158","33","50","200","201","0","17","79","84","177","195","0","17","177","195","1400000US25009217100","Census Tract 2171, Essex County, Massachusetts"
"4169","282","4007","285","5","8","7","14","77","61","0","12","0","12","73","52","0","12","73","52","1400000US25009217201","Census Tract 2172.01, Essex County, Massachusetts"
"3612","254","3505","260","0","12","0","12","36","28","0","12","31","48","40","42","0","12","40","42","1400000US25009217202","Census Tract 2172.02, Essex County, Massachusetts"
"4778","363","4052","375","266","169","0","12","214","168","0","12","75","70","171","124","0","12","171","124","1400000US25009217300","Census Tract 2173, Essex County, Massachusetts"
"6176","566","5377","533","185","152","0","17","191","149","0","17","154","127","269","177","0","17","269","177","1400000US25009217400","Census Tract 2174, Essex County, Massachusetts"
"6157","389","5771","418","55","47","0","17","93","80","0","17","0","17","238","134","27","27","211","133","1400000US25009217500","Census Tract 2175, Essex County, Massachusetts"
"9848","446","9286","440","281","138","0","17","92","62","28","38","15","18","146","104","93","91","53","49","1400000US25009217600","Census Tract 2176, Essex County, Massachusetts"
"5383","18","5310","73","0","17","0","17","39","42","0","17","0","17","34","54","0","17","34","54","1400000US25009218100","Census Tract 2181, Essex County, Massachusetts"
"4183","219","4118","223","4","8","0","12","4","9","0","12","4","9","53","61","0","12","53","61","1400000US25009220101","Census Tract 2201.01, Essex County, Massachusetts"
"3048","220","2894","203","0","12","0","12","0","12","0","12","127","176","27","31","0","12","27","31","1400000US25009220102","Census Tract 2201.02, Essex County, Massachusetts"
"4226","344","4157","344","26","30","0","12","43","42","0","12","0","12","0","12","0","12","0","12","1400000US25009221100","Census Tract 2211, Essex County, Massachusetts"
"4673","335","4507","346","8","14","13","20","51","72","0","12","0","12","94","131","0","12","94","131","1400000US25009221300","Census Tract 2213, Essex County, Massachusetts"
"3391","340","2808","347","128","130","0","12","63","62","0","12","110","159","282","277","11","18","271","280","1400000US25009221400","Census Tract 2214, Essex County, Massachusetts"
"3100","281","3065","261","27","48","0","12","8","16","0","12","0","12","0","12","0","12","0","12","1400000US25009221500","Census Tract 2215, Essex County, Massachusetts"
"2967","229","2518","301","198","207","0","12","144","157","0","12","27","40","80","73","0","12","80","73","1400000US25009221600","Census Tract 2216, Essex County, Massachusetts"
"2998","287","2627","291","34","54","0","12","228","229","0","12","0","12","109","134","0","12","109","134","1400000US25009221700","Census Tract 2217, Essex County, Massachusetts"
"1828","165","1816","167","0","12","0","12","12","13","0","12","0","12","0","12","0","12","0","12","1400000US25009221800","Census Tract 2218, Essex County, Massachusetts"
"3426","264","3379","262","0","12","0","12","0","12","0","12","0","12","47","52","0","12","47","52","1400000US25009221901","Census Tract 2219.01, Essex County, Massachusetts"
"3553","274","3359","271","81","75","0","12","38","58","0","12","0","12","75","68","0","12","75","68","1400000US25009221902","Census Tract 2219.02, Essex County, Massachusetts"
"3745","20","3707","35","0","12","0","12","0","12","0","12","11","18","27","28","9","13","18","25","1400000US25009222100","Census Tract 2221, Essex County, Massachusetts"
"4370","331","3932","337","245","188","0","12","23","26","0","12","103","112","67","67","7","13","60","65","1400000US25009223100","Census Tract 2231, Essex County, Massachusetts"
"3883","309","3639","334","56","61","0","12","70","49","0","12","31","47","87","75","12","19","75","72","1400000US25009223200","Census Tract 2232, Essex County, Massachusetts"
