"B05001_001E","B05001_001M","B05001_002E","B05001_002M","B05001_003E","B05001_003M","B05001_004E","B05001_004M","B05001_005E","B05001_005M","B05001_006E","B05001_006M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!U.S. citizen, born in the United States","Margin of Error!!Total:!!U.S. citizen, born in the United States","Estimate!!Total:!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Margin of Error!!Total:!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Estimate!!Total:!!U.S. citizen, born abroad of American parent(s)","Margin of Error!!Total:!!U.S. citizen, born abroad of American parent(s)","Estimate!!Total:!!U.S. citizen by naturalization","Margin of Error!!Total:!!U.S. citizen by naturalization","Estimate!!Total:!!Not a U.S. citizen","Margin of Error!!Total:!!Not a U.S. citizen","id","Geographic Area Name"
"3502","20","3134","117","15","19","63","49","222","98","68","38","1400000US25009201100","Census Tract 2011, Essex County, Massachusetts"
"2179","150","1869","149","0","12","23","18","184","70","103","61","1400000US25009202101","Census Tract 2021.01, Essex County, Massachusetts"
"6688","361","5794","478","0","17","16","26","757","221","121","62","1400000US25009202102","Census Tract 2021.02, Essex County, Massachusetts"
"6135","333","5300","445","0","17","60","68","474","223","301","155","1400000US25009202200","Census Tract 2022, Essex County, Massachusetts"
"7014","374","5896","343","73","81","89","67","566","217","390","212","1400000US25009203100","Census Tract 2031, Essex County, Massachusetts"
"4632","223","4214","211","0","12","57","44","264","109","97","80","1400000US25009203200","Census Tract 2032, Essex County, Massachusetts"
"4006","253","3649","223","0","12","41","41","220","83","96","61","1400000US25009203301","Census Tract 2033.01, Essex County, Massachusetts"
"4848","342","4193","392","17","26","110","109","144","80","384","330","1400000US25009203302","Census Tract 2033.02, Essex County, Massachusetts"
"4803","337","4135","365","67","69","97","94","254","83","250","127","1400000US25009204101","Census Tract 2041.01, Essex County, Massachusetts"
"5155","351","4293","349","69","64","60","48","533","173","200","89","1400000US25009204102","Census Tract 2041.02, Essex County, Massachusetts"
"4861","612","3980","478","29","49","35","44","590","350","227","122","1400000US25009204200","Census Tract 2042, Essex County, Massachusetts"
"4439","454","3208","515","32","31","47","49","631","219","521","211","1400000US25009204300","Census Tract 2043, Essex County, Massachusetts"
"3361","265","3001","283","7","12","49","46","194","106","110","69","1400000US25009204400","Census Tract 2044, Essex County, Massachusetts"
"3406","265","3138","252","28","31","0","12","137","57","103","69","1400000US25009204500","Census Tract 2045, Essex County, Massachusetts"
"4806","464","4072","470","150","193","78","90","437","272","69","70","1400000US25009204600","Census Tract 2046, Essex County, Massachusetts"
"5980","501","4685","553","192","149","33","51","900","252","170","116","1400000US25009204701","Census Tract 2047.01, Essex County, Massachusetts"
"6441","435","5282","398","53","44","99","95","434","141","573","394","1400000US25009204702","Census Tract 2047.02, Essex County, Massachusetts"
"5660","808","4025","474","10","16","0","17","710","375","915","479","1400000US25009205100","Census Tract 2051, Essex County, Massachusetts"
"5395","657","3189","489","112","143","93","113","851","242","1150","479","1400000US25009205200","Census Tract 2052, Essex County, Massachusetts"
"4069","386","3306","227","35","55","43","47","301","97","384","305","1400000US25009205300","Census Tract 2053, Essex County, Massachusetts"
"4787","273","4332","288","0","12","15","16","310","105","130","66","1400000US25009205400","Census Tract 2054, Essex County, Massachusetts"
"5253","613","3458","453","125","81","13","23","800","208","857","357","1400000US25009205500","Census Tract 2055, Essex County, Massachusetts"
"3432","250","2747","198","53","56","34","35","449","160","149","86","1400000US25009205600","Census Tract 2056, Essex County, Massachusetts"
"4798","368","3098","291","137","93","24","34","717","142","822","339","1400000US25009205700","Census Tract 2057, Essex County, Massachusetts"
"3717","444","2237","379","93","125","25","29","589","182","773","226","1400000US25009205800","Census Tract 2058, Essex County, Massachusetts"
"4255","301","2574","288","21","34","16","24","912","248","732","264","1400000US25009205900","Census Tract 2059, Essex County, Massachusetts"
"3300","329","1245","246","89","112","87","93","671","275","1208","291","1400000US25009206000","Census Tract 2060, Essex County, Massachusetts"
"4288","397","1724","320","83","70","109","87","778","195","1594","393","1400000US25009206100","Census Tract 2061, Essex County, Massachusetts"
"5935","508","2996","424","323","187","94","90","876","248","1646","539","1400000US25009206200","Census Tract 2062, Essex County, Massachusetts"
"4755","476","3142","399","55","54","0","12","561","163","997","310","1400000US25009206300","Census Tract 2063, Essex County, Massachusetts"
"5723","539","3549","298","79","67","136","95","848","206","1111","422","1400000US25009206400","Census Tract 2064, Essex County, Massachusetts"
"3325","468","1610","376","70","66","71","78","817","191","757","283","1400000US25009206500","Census Tract 2065, Essex County, Massachusetts"
"4519","381","2991","342","13","22","108","99","505","138","902","396","1400000US25009206600","Census Tract 2066, Essex County, Massachusetts"
"3729","384","2110","257","80","66","100","119","795","182","644","269","1400000US25009206700","Census Tract 2067, Essex County, Massachusetts"
"4162","604","1922","474","69","56","105","77","789","364","1277","415","1400000US25009206800","Census Tract 2068, Essex County, Massachusetts"
"4286","458","2082","358","86","101","146","194","1116","293","856","337","1400000US25009206900","Census Tract 2069, Essex County, Massachusetts"
"2361","311","1163","225","12","20","59","72","571","175","556","207","1400000US25009207000","Census Tract 2070, Essex County, Massachusetts"
"3527","408","1458","232","50","71","20","20","598","141","1401","353","1400000US25009207100","Census Tract 2071, Essex County, Massachusetts"
"2467","251","1359","241","83","68","39","55","498","147","488","208","1400000US25009207200","Census Tract 2072, Essex County, Massachusetts"
"4991","409","4316","409","25","41","29","38","493","226","128","87","1400000US25009208101","Census Tract 2081.01, Essex County, Massachusetts"
"3258","342","2637","362","8","16","9","15","436","244","168","144","1400000US25009208102","Census Tract 2081.02, Essex County, Massachusetts"
"5519","507","4973","515","0","17","39","43","369","196","138","96","1400000US25009208200","Census Tract 2082, Essex County, Massachusetts"
"8133","477","6864","518","101","92","77","62","419","160","672","547","1400000US25009208300","Census Tract 2083, Essex County, Massachusetts"
"6314","424","5390","544","0","17","23","38","664","291","237","153","1400000US25009208400","Census Tract 2084, Essex County, Massachusetts"
"6573","329","6068","339","0","17","9","17","338","147","158","129","1400000US25009209100","Census Tract 2091, Essex County, Massachusetts"
"6321","326","5793","403","1","4","11","18","440","156","76","50","1400000US25009209200","Census Tract 2092, Essex County, Massachusetts"
"6485","331","6022","323","0","17","0","17","293","123","170","116","1400000US25009210100","Census Tract 2101, Essex County, Massachusetts"
"5201","227","4929","222","47","52","7","12","200","78","18","20","1400000US25009210200","Census Tract 2102, Essex County, Massachusetts"
"9014","619","7908","567","6","12","16","27","573","230","511","323","1400000US25009210300","Census Tract 2103, Essex County, Massachusetts"
"7234","551","6191","533","0","17","45","53","690","236","308","161","1400000US25009210400","Census Tract 2104, Essex County, Massachusetts"
"6301","435","5601","534","39","45","0","17","475","195","186","110","1400000US25009210500","Census Tract 2105, Essex County, Massachusetts"
"4638","367","3726","387","37","43","12","19","594","240","269","165","1400000US25009210600","Census Tract 2106, Essex County, Massachusetts"
"4852","444","3182","338","183","115","0","12","631","179","856","435","1400000US25009210700","Census Tract 2107, Essex County, Massachusetts"
"4749","471","3193","496","60","99","74","93","851","245","571","351","1400000US25009210800","Census Tract 2108, Essex County, Massachusetts"
"4432","439","3430","399","0","12","37","30","700","204","265","150","1400000US25009210900","Census Tract 2109, Essex County, Massachusetts"
"4210","245","3950","248","38","47","8","13","144","86","70","51","1400000US25009211100","Census Tract 2111, Essex County, Massachusetts"
"6224","498","5386","403","0","17","74","55","656","300","108","73","1400000US25009211200","Census Tract 2112, Essex County, Massachusetts"
"6598","457","6093","542","0","17","33","33","353","246","119","159","1400000US25009211300","Census Tract 2113, Essex County, Massachusetts"
"4328","302","3364","292","40","53","0","12","469","144","455","151","1400000US25009211401","Census Tract 2114.01, Essex County, Massachusetts"
"6226","379","5702","385","0","17","0","17","418","261","106","145","1400000US25009211402","Census Tract 2114.02, Essex County, Massachusetts"
"9872","17","8898","307","120","69","14","25","662","285","178","97","1400000US25009212100","Census Tract 2121, Essex County, Massachusetts"
"8282","16","7781","178","0","17","121","79","306","145","74","87","1400000US25009213100","Census Tract 2131, Essex County, Massachusetts"
"6568","27","6021","176","0","17","43","50","441","166","63","39","1400000US25009214100","Census Tract 2141, Essex County, Massachusetts"
"4954","214","4209","244","24","31","67","43","202","94","452","236","1400000US25009215101","Census Tract 2151.01, Essex County, Massachusetts"
"3077","216","2946","231","18","22","0","12","40","39","73","54","1400000US25009215102","Census Tract 2151.02, Essex County, Massachusetts"
"5240","21","4798","118","21","21","64","48","174","84","183","88","1400000US25009216100","Census Tract 2161, Essex County, Massachusetts"
"7145","380","6607","445","14","29","30","29","391","210","103","81","1400000US25009217100","Census Tract 2171, Essex County, Massachusetts"
"4169","282","3847","260","0","12","29","35","110","78","183","167","1400000US25009217201","Census Tract 2172.01, Essex County, Massachusetts"
"3612","254","3378","251","0","12","45","49","91","57","98","86","1400000US25009217202","Census Tract 2172.02, Essex County, Massachusetts"
