"B08301_001E","B08301_001M","B08301_002E","B08301_002M","B08301_003E","B08301_003M","B08301_004E","B08301_004M","B08301_005E","B08301_005M","B08301_006E","B08301_006M","B08301_007E","B08301_007M","B08301_008E","B08301_008M","B08301_009E","B08301_009M","B08301_010E","B08301_010M","B08301_011E","B08301_011M","B08301_012E","B08301_012M","B08301_013E","B08301_013M","B08301_014E","B08301_014M","B08301_015E","B08301_015M","B08301_016E","B08301_016M","B08301_017E","B08301_017M","B08301_018E","B08301_018M","B08301_019E","B08301_019M","B08301_020E","B08301_020M","B08301_021E","B08301_021M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Car, truck, or van:","Margin of Error!!Total:!!Car, truck, or van:","Estimate!!Total:!!Car, truck, or van:!!Drove alone","Margin of Error!!Total:!!Car, truck, or van:!!Drove alone","Estimate!!Total:!!Car, truck, or van:!!Carpooled:","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","Estimate!!Total:!!Public transportation (excluding taxicab):","Margin of Error!!Total:!!Public transportation (excluding taxicab):","Estimate!!Total:!!Public transportation (excluding taxicab):!!Bus","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Bus","Estimate!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Estimate!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Estimate!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Estimate!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","Estimate!!Total:!!Taxicab","Margin of Error!!Total:!!Taxicab","Estimate!!Total:!!Motorcycle","Margin of Error!!Total:!!Motorcycle","Estimate!!Total:!!Bicycle","Margin of Error!!Total:!!Bicycle","Estimate!!Total:!!Walked","Margin of Error!!Total:!!Walked","Estimate!!Total:!!Other means","Margin of Error!!Total:!!Other means","Estimate!!Total:!!Worked from home","Margin of Error!!Total:!!Worked from home","id","Geographic Area Name"
"2057","145","1670","162","1480","155","190","132","181","130","0","12","9","15","0","12","0","12","221","102","20","29","153","83","48","55","0","12","0","12","0","12","0","12","0","12","28","31","35","44","103","66","1400000US25009201100","Census Tract 2011, Essex County, Massachusetts"
"1255","118","905","111","839","111","66","32","57","29","1","5","0","12","0","12","8","11","210","55","10","13","49","30","151","47","0","12","0","12","0","12","0","12","8","12","36","26","32","46","64","34","1400000US25009202101","Census Tract 2021.01, Essex County, Massachusetts"
"3435","309","2534","401","2240","413","294","191","265","186","29","36","0","17","0","17","0","17","669","234","91","115","130","78","448","211","0","17","0","17","0","17","0","17","0","17","37","40","0","17","195","137","1400000US25009202102","Census Tract 2021.02, Essex County, Massachusetts"
"3261","279","2514","297","2303","305","211","136","150","109","35","57","0","17","26","42","0","17","289","100","0","17","166","74","123","68","0","17","0","17","0","17","0","17","0","17","100","92","28","32","330","125","1400000US25009202200","Census Tract 2022, Essex County, Massachusetts"
"3719","350","2842","333","2654","305","188","115","188","115","0","17","0","17","0","17","0","17","357","125","18","28","234","88","105","91","0","17","0","17","0","17","13","21","12","20","85","74","27","31","383","122","1400000US25009203100","Census Tract 2031, Essex County, Massachusetts"
"2357","173","1874","179","1729","176","145","71","129","73","0","12","0","12","0","12","16","17","204","78","42","38","115","55","47","39","0","12","0","12","0","12","0","12","0","12","35","39","7","12","237","92","1400000US25009203200","Census Tract 2032, Essex County, Massachusetts"
"1999","194","1440","200","1364","189","76","48","50","43","26","21","0","12","0","12","0","12","150","64","43","42","77","44","30","32","0","12","0","12","0","12","0","12","18","21","229","127","14","24","148","70","1400000US25009203301","Census Tract 2033.01, Essex County, Massachusetts"
"2144","212","1457","207","1292","229","165","97","96","72","69","68","0","12","0","12","0","12","152","81","70","55","0","12","47","39","19","30","16","25","0","12","0","12","18","25","269","144","0","12","248","110","1400000US25009203302","Census Tract 2033.02, Essex County, Massachusetts"
"2531","273","1745","215","1605","213","140","63","82","48","39","39","9","16","9","14","1","10","250","106","71","56","22","24","157","79","0","12","0","12","33","31","0","12","42","42","269","101","90","95","102","47","1400000US25009204101","Census Tract 2041.01, Essex County, Massachusetts"
