"B23020_001E","B23020_001M","B23020_002E","B23020_002M","B23020_003E","B23020_003M","GEO_ID","NAME"
"Estimate!!Mean usual hours--!!Total:","Margin of Error!!Mean usual hours--!!Total:","Estimate!!Mean usual hours--!!Total:!!Male","Margin of Error!!Mean usual hours--!!Total:!!Male","Estimate!!Mean usual hours--!!Total:!!Female","Margin of Error!!Mean usual hours--!!Total:!!Female","id","Geographic Area Name"
"38.5","1.7","39.7","2.5","37.6","3.0","1400000US25009201100","Census Tract 2011, Essex County, Massachusetts"
"38.6","1.4","40.9","2.2","36.2","1.5","1400000US25009202101","Census Tract 2021.01, Essex County, Massachusetts"
"36.5","1.9","37.9","2.0","35.4","2.4","1400000US25009202102","Census Tract 2021.02, Essex County, Massachusetts"
"38.8","1.5","41.6","1.5","36.0","2.3","1400000US25009202200","Census Tract 2022, Essex County, Massachusetts"
"39.5","1.2","42.2","1.4","36.9","1.8","1400000US25009203100","Census Tract 2031, Essex County, Massachusetts"
"36.7","1.4","41.2","1.8","32.1","2.2","1400000US25009203200","Census Tract 2032, Essex County, Massachusetts"
"39.3","1.4","43.2","2.2","34.9","2.3","1400000US25009203301","Census Tract 2033.01, Essex County, Massachusetts"
"40.9","2.1","45.8","3.3","35.0","3.1","1400000US25009203302","Census Tract 2033.02, Essex County, Massachusetts"
"34.8","1.3","37.7","1.9","32.3","1.6","1400000US25009204101","Census Tract 2041.01, Essex County, Massachusetts"
"35.0","1.5","37.7","2.3","32.8","2.0","1400000US25009204102","Census Tract 2041.02, Essex County, Massachusetts"
"36.0","2.1","39.9","2.8","32.2","3.1","1400000US25009204200","Census Tract 2042, Essex County, Massachusetts"
"34.2","1.9","37.2","2.4","31.7","2.8","1400000US25009204300","Census Tract 2043, Essex County, Massachusetts"
"39.2","1.4","41.1","1.9","37.6","2.0","1400000US25009204400","Census Tract 2044, Essex County, Massachusetts"
"39.4","1.7","41.2","1.9","37.2","2.5","1400000US25009204500","Census Tract 2045, Essex County, Massachusetts"
"38.5","1.8","40.0","1.9","37.0","2.5","1400000US25009204600","Census Tract 2046, Essex County, Massachusetts"
"36.8","2.1","40.1","2.7","34.1","2.5","1400000US25009204701","Census Tract 2047.01, Essex County, Massachusetts"
"38.1","2.3","41.5","3.4","34.6","2.2","1400000US25009204702","Census Tract 2047.02, Essex County, Massachusetts"
"38.7","1.5","40.3","2.2","36.3","2.2","1400000US25009205100","Census Tract 2051, Essex County, Massachusetts"
"37.1","1.9","37.2","2.4","36.9","3.4","1400000US25009205200","Census Tract 2052, Essex County, Massachusetts"
"36.8","1.7","39.6","1.8","33.8","2.8","1400000US25009205300","Census Tract 2053, Essex County, Massachusetts"
"38.6","1.4","42.7","1.6","34.6","2.0","1400000US25009205400","Census Tract 2054, Essex County, Massachusetts"
"38.1","1.3","38.6","2.0","37.3","1.9","1400000US25009205500","Census Tract 2055, Essex County, Massachusetts"
"37.1","2.0","43.2","2.7","32.7","2.1","1400000US25009205600","Census Tract 2056, Essex County, Massachusetts"
"36.5","1.6","38.9","2.4","34.0","1.9","1400000US25009205700","Census Tract 2057, Essex County, Massachusetts"
"36.3","1.4","36.9","1.9","35.6","2.0","1400000US25009205800","Census Tract 2058, Essex County, Massachusetts"
"37.0","2.0","40.9","2.8","32.5","2.5","1400000US25009205900","Census Tract 2059, Essex County, Massachusetts"
"36.0","1.9","37.1","3.2","34.9","2.3","1400000US25009206000","Census Tract 2060, Essex County, Massachusetts"
"36.7","1.9","40.0","2.7","31.9","1.9","1400000US25009206100","Census Tract 2061, Essex County, Massachusetts"
"37.1","1.5","38.4","2.0","35.2","2.2","1400000US25009206200","Census Tract 2062, Essex County, Massachusetts"
"36.2","1.4","38.4","1.5","33.2","1.9","1400000US25009206300","Census Tract 2063, Essex County, Massachusetts"
"37.5","1.1","37.9","1.2","37.0","1.4","1400000US25009206400","Census Tract 2064, Essex County, Massachusetts"
"36.0","1.4","37.2","2.0","34.2","2.6","1400000US25009206500","Census Tract 2065, Essex County, Massachusetts"
"37.4","1.1","39.2","1.4","35.6","1.8","1400000US25009206600","Census Tract 2066, Essex County, Massachusetts"
"36.9","1.6","37.0","2.8","36.8","1.8","1400000US25009206700","Census Tract 2067, Essex County, Massachusetts"
