"B25034_001E","B25034_001M","B25034_002E","B25034_002M","B25034_003E","B25034_003M","B25034_004E","B25034_004M","B25034_005E","B25034_005M","B25034_006E","B25034_006M","B25034_007E","B25034_007M","B25034_008E","B25034_008M","B25034_009E","B25034_009M","B25034_010E","B25034_010M","B25034_011E","B25034_011M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Built 2014 or later","Margin of Error!!Total:!!Built 2014 or later","Estimate!!Total:!!Built 2010 to 2013","Margin of Error!!Total:!!Built 2010 to 2013","Estimate!!Total:!!Built 2000 to 2009","Margin of Error!!Total:!!Built 2000 to 2009","Estimate!!Total:!!Built 1990 to 1999","Margin of Error!!Total:!!Built 1990 to 1999","Estimate!!Total:!!Built 1980 to 1989","Margin of Error!!Total:!!Built 1980 to 1989","Estimate!!Total:!!Built 1970 to 1979","Margin of Error!!Total:!!Built 1970 to 1979","Estimate!!Total:!!Built 1960 to 1969","Margin of Error!!Total:!!Built 1960 to 1969","Estimate!!Total:!!Built 1950 to 1959","Margin of Error!!Total:!!Built 1950 to 1959","Estimate!!Total:!!Built 1940 to 1949","Margin of Error!!Total:!!Built 1940 to 1949","Estimate!!Total:!!Built 1939 or earlier","Margin of Error!!Total:!!Built 1939 or earlier","id","Geographic Area Name"
"1724","124","10","16","11","17","18","21","127","76","53","55","146","52","89","57","246","74","55","29","969","131","1400000US25009201100","Census Tract 2011, Essex County, Massachusetts"
"903","39","20","18","0","12","45","47","9","13","35","22","29","19","57","23","66","34","66","28","576","62","1400000US25009202101","Census Tract 2021.01, Essex County, Massachusetts"
"2767","114","144","76","0","17","20","30","120","81","259","99","516","134","102","59","185","102","101","58","1320","232","1400000US25009202102","Census Tract 2021.02, Essex County, Massachusetts"
"2403","121","11","18","88","73","40","45","76","56","157","75","84","61","208","120","422","115","127","75","1190","186","1400000US25009202200","Census Tract 2022, Essex County, Massachusetts"
"2588","88","0","17","26","38","107","84","96","72","89","93","63","50","213","105","442","116","401","121","1151","176","1400000US25009203100","Census Tract 2031, Essex County, Massachusetts"
"1929","81","8","12","35","33","83","56","68","37","99","50","141","53","174","70","280","68","173","62","868","114","1400000US25009203200","Census Tract 2032, Essex County, Massachusetts"
"1955","90","0","12","0","12","33","36","31","22","82","51","208","66","324","93","201","70","69","41","1007","132","1400000US25009203301","Census Tract 2033.01, Essex County, Massachusetts"
"2244","84","51","67","18","31","68","53","93","55","164","87","228","130","85","50","272","90","97","71","1168","214","1400000US25009203302","Census Tract 2033.02, Essex County, Massachusetts"
"1977","91","13","19","14","17","22","24","10","16","45","35","134","57","78","43","215","66","152","76","1294","141","1400000US25009204101","Census Tract 2041.01, Essex County, Massachusetts"
"1956","92","0","17","0","17","58","35","79","37","551","109","373","127","113","49","279","84","157","58","346","111","1400000US25009204102","Census Tract 2041.02, Essex County, Massachusetts"
"2553","97","0","12","13","23","28","36","15","24","139","93","125","59","124","84","77","61","34","50","1998","149","1400000US25009204200","Census Tract 2042, Essex County, Massachusetts"
"1954","95","0","12","16","19","126","90","5","9","105","50","87","44","41","31","38","31","141","76","1395","151","1400000US25009204300","Census Tract 2043, Essex County, Massachusetts"
"1814","81","8","13","12","14","15","15","25","31","47","34","46","45","33","40","83","59","91","50","1454","126","1400000US25009204400","Census Tract 2044, Essex County, Massachusetts"
"1831","89","0","12","38","52","58","30","145","71","138","66","77","47","15","17","89","62","103","70","1168","133","1400000US25009204500","Census Tract 2045, Essex County, Massachusetts"
"2256","101","0","12","0","12","38","42","28","43","96","63","47","54","40","39","189","109","232","127","1586","183","1400000US25009204600","Census Tract 2046, Essex County, Massachusetts"
"2772","126","35","40","47","53","335","147","356","105","676","182","599","213","191","92","213","109","58","46","262","128","1400000US25009204701","Census Tract 2047.01, Essex County, Massachusetts"
"2518","98","0","17","23","35","78","83","88","64","45","47","509","152","431","149","271","127","41","42","1032","159","1400000US25009204702","Census Tract 2047.02, Essex County, Massachusetts"
"1947","98","0","17","41","64","14","24","151","95","173","96","66","70","363","136","154","73","125","73","860","199","1400000US25009205100","Census Tract 2051, Essex County, Massachusetts"
"2048","99","0","17","0","17","0","17","118","136","107","84","55","53","114","106","119","104","115","64","1420","192","1400000US25009205200","Census Tract 2052, Essex County, Massachusetts"
"1547","43","10","15","7","13","19","22","8","14","43","28","55","34","194","73","387","101","207","87","617","130","1400000US25009205300","Census Tract 2053, Essex County, Massachusetts"
"1688","51","0","12","52","47","327","82","100","38","219","74","85","44","148","54","320","87","239","89","198","66","1400000US25009205400","Census Tract 2054, Essex County, Massachusetts"
"1672","64","0","17","0","17","18","26","46","36","111","70","166","104","87","62","63","39","142","78","1039","170","1400000US25009205500","Census Tract 2055, Essex County, Massachusetts"
"1422","70","0","12","58","65","58","42","43","33","171","70","157","51","201","70","232","95","115","57","387","107","1400000US25009205600","Census Tract 2056, Essex County, Massachusetts"
"1617","76","0","12","0","12","69","50","10","15","19","18","43","31","48","33","202","83","235","91","991","136","1400000US25009205700","Census Tract 2057, Essex County, Massachusetts"
"1141","51","32","39","12","14","55","31","57","48","26","17","9","15","101","61","56","43","24","20","769","96","1400000US25009205800","Census Tract 2058, Essex County, Massachusetts"
"1402","59","0","12","16","19","61","36","73","43","12","17","39","33","35","31","96","46","14","16","1056","104","1400000US25009205900","Census Tract 2059, Essex County, Massachusetts"
"1096","64","0","12","0","12","78","61","102","68","46","50","70","63","28","34","82","65","28","34","662","126","1400000US25009206000","Census Tract 2060, Essex County, Massachusetts"
"1495","68","0","12","6","11","38","37","72","57","63","49","284","101","122","71","31","33","26","23","853","150","1400000US25009206100","Census Tract 2061, Essex County, Massachusetts"
"1720","87","0","17","0","17","17","20","101","70","74","55","113","68","15","23","20","22","97","69","1283","130","1400000US25009206200","Census Tract 2062, Essex County, Massachusetts"
"1317","63","6","14","18","29","26","33","25","40","96","67","146","92","123","71","34","26","81","54","762","143","1400000US25009206300","Census Tract 2063, Essex County, Massachusetts"
"1870","73","11","18","0","17","20","31","14","23","82","52","93","65","83","55","110","54","148","66","1309","126","1400000US25009206400","Census Tract 2064, Essex County, Massachusetts"
"1122","81","14","22","0","12","0","12","66","51","89","69","85","59","59","63","70","48","65","55","674","124","1400000US25009206500","Census Tract 2065, Essex County, Massachusetts"
"1920","56","13","11","22","19","41","42","17","21","54","51","141","67","52","35","186","98","85","45","1309","143","1400000US25009206600","Census Tract 2066, Essex County, Massachusetts"
"1912","69","0","12","0","12","9","13","0","12","92","59","56","42","268","98","72","39","131","75","1284","139","1400000US25009206700","Census Tract 2067, Essex County, Massachusetts"
"1649","63","17","28","0","12","12","19","11","16","19","29","0","12","83","69","115","73","93","68","1299","135","1400000US25009206800","Census Tract 2068, Essex County, Massachusetts"
