"B25077_001E","B25077_001M","GEO_ID","NAME"
"Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)","id","Geographic Area Name"
"625400","64314","1400000US25009201100","Census Tract 2011, Essex County, Massachusetts"
"472400","23033","1400000US25009202101","Census Tract 2021.01, Essex County, Massachusetts"
"358600","33668","1400000US25009202102","Census Tract 2021.02, Essex County, Massachusetts"
"616200","32088","1400000US25009202200","Census Tract 2022, Essex County, Massachusetts"
"653500","31433","1400000US25009203100","Census Tract 2031, Essex County, Massachusetts"
"773200","66260","1400000US25009203200","Census Tract 2032, Essex County, Massachusetts"
"611700","31695","1400000US25009203301","Census Tract 2033.01, Essex County, Massachusetts"
"774900","135572","1400000US25009203302","Census Tract 2033.02, Essex County, Massachusetts"
"347800","19558","1400000US25009204101","Census Tract 2041.01, Essex County, Massachusetts"
"351300","12842","1400000US25009204102","Census Tract 2041.02, Essex County, Massachusetts"
"379100","47980","1400000US25009204200","Census Tract 2042, Essex County, Massachusetts"
"361800","40220","1400000US25009204300","Census Tract 2043, Essex County, Massachusetts"
"402700","29998","1400000US25009204400","Census Tract 2044, Essex County, Massachusetts"
"296000","17771","1400000US25009204500","Census Tract 2045, Essex County, Massachusetts"
"387700","31547","1400000US25009204600","Census Tract 2046, Essex County, Massachusetts"
"365000","14705","1400000US25009204701","Census Tract 2047.01, Essex County, Massachusetts"
"394200","24142","1400000US25009204702","Census Tract 2047.02, Essex County, Massachusetts"
"351600","19296","1400000US25009205100","Census Tract 2051, Essex County, Massachusetts"
"362300","21620","1400000US25009205200","Census Tract 2052, Essex County, Massachusetts"
"336600","10988","1400000US25009205300","Census Tract 2053, Essex County, Massachusetts"
"397600","18243","1400000US25009205400","Census Tract 2054, Essex County, Massachusetts"
"327700","23180","1400000US25009205500","Census Tract 2055, Essex County, Massachusetts"
"326100","17624","1400000US25009205600","Census Tract 2056, Essex County, Massachusetts"
"301800","20309","1400000US25009205700","Census Tract 2057, Essex County, Massachusetts"
"244400","31644","1400000US25009205800","Census Tract 2058, Essex County, Massachusetts"
"303800","35242","1400000US25009205900","Census Tract 2059, Essex County, Massachusetts"
"290400","30093","1400000US25009206000","Census Tract 2060, Essex County, Massachusetts"
"344500","40009","1400000US25009206100","Census Tract 2061, Essex County, Massachusetts"
"283200","66089","1400000US25009206200","Census Tract 2062, Essex County, Massachusetts"
"239200","14002","1400000US25009206300","Census Tract 2063, Essex County, Massachusetts"
"300500","17277","1400000US25009206400","Census Tract 2064, Essex County, Massachusetts"
"333800","58415","1400000US25009206500","Census Tract 2065, Essex County, Massachusetts"
"318400","44821","1400000US25009206600","Census Tract 2066, Essex County, Massachusetts"
"276900","36382","1400000US25009206700","Census Tract 2067, Essex County, Massachusetts"
"272800","45082","1400000US25009206800","Census Tract 2068, Essex County, Massachusetts"
"264300","35609","1400000US25009206900","Census Tract 2069, Essex County, Massachusetts"
"182600","77871","1400000US25009207000","Census Tract 2070, Essex County, Massachusetts"
"270800","37444","1400000US25009207100","Census Tract 2071, Essex County, Massachusetts"
"266200","22543","1400000US25009207200","Census Tract 2072, Essex County, Massachusetts"
"386600","19273","1400000US25009208101","Census Tract 2081.01, Essex County, Massachusetts"
"363800","18742","1400000US25009208102","Census Tract 2081.02, Essex County, Massachusetts"
"378800","17212","1400000US25009208200","Census Tract 2082, Essex County, Massachusetts"
"412200","40789","1400000US25009208300","Census Tract 2083, Essex County, Massachusetts"
"452000","39452","1400000US25009208400","Census Tract 2084, Essex County, Massachusetts"
"635900","28352","1400000US25009209100","Census Tract 2091, Essex County, Massachusetts"
"709400","27984","1400000US25009209200","Census Tract 2092, Essex County, Massachusetts"
"456400","17276","1400000US25009210100","Census Tract 2101, Essex County, Massachusetts"
"457600","17544","1400000US25009210200","Census Tract 2102, Essex County, Massachusetts"
"352400","19551","1400000US25009210300","Census Tract 2103, Essex County, Massachusetts"
"373300","15220","1400000US25009210400","Census Tract 2104, Essex County, Massachusetts"
"394700","23227","1400000US25009210500","Census Tract 2105, Essex County, Massachusetts"
