geoid,medianCR
25009201100,1098.0
25009202101,1073.0
25009202102,1146.0
25009202200,1253.0
25009203100,1702.0
25009203200,888.0
25009203301,927.0
25009203302,1010.0
25009204101,951.0
25009204102,867.0
25009204200,823.0
25009204300,865.0
25009204400,937.0
25009204500,1065.0
25009204600,908.0
25009204701,970.0
25009204702,1017.0
25009205100,995.0
25009205200,934.0
25009205300,1132.0
25009205400,1088.0
25009205500,988.0
25009205600,625.0
25009205700,1004.0
25009205800,934.0
25009205900,901.0
25009206000,876.0
25009206100,693.0
25009206200,891.0
25009206300,650.0
25009206400,877.0
25009206500,745.0
25009206600,845.0
25009206700,887.0
25009206800,439.0
25009206900,657.0
25009207000,624.0
25009207100,940.0
25009207200,685.0
25009208101,1107.0
25009208102,1059.0
25009208200,826.0
25009208300,460.0
25009208400,1437.0
25009209100,514.0
25009209200,1250.0
25009210100,603.0
25009210200,1031.0
25009210300,1627.0
25009210400,1109.0
25009210500,1134.0
25009210600,553.0
25009210700,855.0
25009210800,723.0
25009210900,611.0
25009211100,970.0
25009211200,989.0
25009211300,1313.0
25009211401,1400.0
25009211402,879.0
25009212100,733.0
25009213100,557.0
25009214100,509.0
25009215101,938.0
25009215102,1726.0
25009216100,441.0
25009217100,1178.0
25009217201,919.0
25009217202,977.0
25009217300,782.0
25009217400,884.0
25009217500,931.0
25009217600,600.0
25009218100,1091.0
25009220101,844.0
25009220102,873.0
25009221100,1023.0
25009221300,987.0
25009221400,858.0
25009221500,702.0
25009221600,518.0
25009221700,832.0
25009221800,1404.0
25009221901,1286.0
25009221902,985.0
25009222100,1077.0
25009223100,736.0
25009223200,759.0
25009223300,1405.0
25009250100,472.0
25009250200,867.0
25009250300,746.0
25009250400,575.0
25009250500,829.0
25009250600,846.0
25009250700,808.0
25009250800,903.0
25009250900,674.0
25009251000,726.0
25009251100,445.0
25009251200,724.0
25009251300,603.0
25009251400,843.0
25009251500,836.0
25009251600,758.0
25009251700,854.0
25009251800,844.0
25009252101,851.0
25009252102,231.0
25009252201,871.0
25009252202,
25009252300,824.0
25009252400,752.0
25009252501,913.0
25009252502,928.0
25009252601,874.0
25009252602,1054.0
25009252603,829.0
25009253100,784.0
25009253201,685.0
25009253202,1164.0
25009253203,1574.0
25009253204,1590.0
25009253205,1425.0
25009254100,906.0
25009254200,612.0
25009254301,1200.0
25009254302,788.0
25009254401,1714.0
25009254402,1137.0
25009254403,1200.0
25009260100,651.0
25009260200,764.0
25009260301,747.0
25009260302,1055.0
25009260401,731.0
25009260402,955.0
25009260500,878.0
25009260600,941.0
25009260700,841.0
25009260800,844.0
25009260900,804.0
25009261000,925.0
25009261101,639.0
25009261102,1000.0
25009262100,846.0
25009263100,982.0
25009264100,1191.0
25009265101,837.0
25009265102,1121.0
25009266100,742.0
25009266200,769.0
25009266300,835.0
25009266400,907.0
25009267101,815.0
25009267102,890.0
25009268100,
25009268200,929.0
25009268300,961.0
25009268400,971.0
25009269100,1044.0
25009270100,1042.0
25009990100,
25017300100,721.0
25017301101,738.0
25017301102,745.0
25017310100,720.0
25017310200,804.0
25017310300,821.0
25017310400,915.0
25017310500,953.0
25017310601,833.0
25017310602,747.0
25017310700,690.0
25017311100,1044.0
25017311200,625.0
25017311300,886.0
25017311400,950.0
25017311500,749.0
25017311600,832.0
25017311700,884.0
25017311800,828.0
25017311900,492.0
25017312000,787.0
25017312100,758.0
25017312200,860.0
25017312300,917.0
25017312400,624.0
25017312501,916.0
25017312502,862.0
25017313101,748.0
25017313102,962.0
25017314101,978.0
25017314102,961.0
25017314200,903.0
25017314301,906.0
25017314302,
25017315100,1010.0
25017315200,1144.0
25017315401,490.0
25017315402,
25017315403,970.0
25017315500,1134.0
25017316101,1013.0
25017316102,837.0
25017316201,
25017316202,
25017316300,1148.0
25017316400,1406.0
25017316500,1072.0
25017317101,889.0
25017317102,1124.0
25017317103,
25017317201,
25017317202,1528.0
25017317203,953.0
25017317301,1130.0
25017317302,766.0
25017318100,1319.0
25017318200,954.0
25017318300,1594.0
25017318400,595.0
25017320102,1071.0
25017320103,342.0
25017320104,1198.0
25017321100,935.0
25017321200,947.0
25017321300,823.0
25017321400,1587.0
25017321500,802.0
25017321600,1134.0
25017322100,1137.0
25017322200,837.0
25017322300,907.0
25017322400,996.0
25017323100,1418.0
25017324101,478.0
25017324102,661.0
25017325100,788.0
25017326101,433.0
25017326102,1328.0
25017327101,785.0
25017327102,985.0
25017327103,681.0
25017328100,522.0
25017330100,428.0
25017330200,1270.0
25017331101,1578.0
25017331102,1424.0
25017331200,1302.0
25017331300,846.0
25017332100,1449.0
25017332200,1353.0
25017332300,1224.0
25017332400,1685.0
25017333100,1176.0
25017333200,884.0
25017333300,964.0
25017333400,1045.0
25017333501,1087.0
25017333502,836.0
25017333600,1272.0
25017334100,1186.0
25017334200,1055.0
25017334300,405.0
25017334400,812.0
25017335100,969.0
25017335200,884.0
25017335301,932.0
25017335302,1072.0
25017335400,966.0
25017336100,825.0
25017336200,1239.0
25017336300,887.0
25017336401,1161.0
25017336402,873.0
25017337101,775.0
25017337102,1043.0
25017337201,991.0
25017337202,1111.0
25017337300,1208.0
25017338100,1413.0
25017338200,1063.0
25017338300,1454.0
25017338400,1683.0
25017338500,1031.0
25017339100,603.0
25017339200,1282.0
25017339300,1181.0
25017339400,947.0
25017339500,1188.0
25017339600,1229.0
25017339700,1064.0
25017339801,1645.0
25017339802,1106.0
25017339900,1068.0
25017340000,1085.0
25017340100,1340.0
25017341101,1100.0
25017341102,956.0
25017341200,1055.0
25017341300,1080.0
25017341400,989.0
25017341500,1016.0
25017341600,1039.0
25017341700,626.0
25017341800,1015.0
25017341901,1095.0
25017341902,1242.0
25017342101,1099.0
25017342102,871.0
25017342201,981.0
25017342202,803.0
25017342300,984.0
25017342400,962.0
25017342500,892.0
25017342600,966.0
25017350103,1176.0
25017350104,1103.0
25017350200,1127.0
25017350300,1095.0
25017350400,1457.0
25017350500,1393.0
25017350600,1432.0
25017350700,1077.0
25017350800,1474.0
25017350900,1434.0
25017351000,1405.0
25017351100,1128.0
25017351203,1313.0
25017351204,1267.0
25017351300,946.0
25017351403,861.0
25017351404,1022.0
25017351500,1022.0
25017352101,
25017352102,1252.0
25017352200,679.0
25017352300,1667.0
25017352400,643.0
25017352500,1304.0
25017352600,1234.0
25017352700,817.0
25017352800,1289.0
25017352900,1565.0
25017353000,1334.0
