medianCR,geoid
1362.0,25009201100
1164.0,25009202101
1778.0,25009202102
1688.0,25009202200
1913.0,25009203100
1149.0,25009203200
1244.0,25009203301
1656.0,25009203302
1082.0,25009204101
1122.0,25009204102
1187.0,25009204200
1169.0,25009204300
1156.0,25009204400
1254.0,25009204500
1182.0,25009204600
995.0,25009204701
1266.0,25009204702
1178.0,25009205100
1152.0,25009205200
1163.0,25009205300
1525.0,25009205400
1113.0,25009205500
731.0,25009205600
1254.0,25009205700
1127.0,25009205800
1024.0,25009205900
1068.0,25009206000
1038.0,25009206100
1166.0,25009206200
1091.0,25009206300
1256.0,25009206400
1108.0,25009206500
1154.0,25009206600
1025.0,25009206700
835.0,25009206800
778.0,25009206900
1070.0,25009207000
1038.0,25009207100
465.0,25009207200
945.0,25009208101
1605.0,25009208102
,25009208200
419.0,25009208300
1537.0,25009208400
,25009209100
1717.0,25009209200
,25009210100
,25009210200
1954.0,25009210300
1447.0,25009210400
1141.0,25009210500
1116.0,25009210600
1067.0,25009210700
920.0,25009210800
1093.0,25009210900
1377.0,25009211100
1125.0,25009211200
1275.0,25009211300
1796.0,25009211401
1098.0,25009211402
1694.0,25009212100
,25009213100
,25009214100
1132.0,25009215101
1131.0,25009215102
,25009216100
1348.0,25009217100
1500.0,25009217201
1381.0,25009217202
1038.0,25009217300
1201.0,25009217400
1084.0,25009217500
915.0,25009217600
1317.0,25009218100
1209.0,25009220101
1107.0,25009220102
1061.0,25009221100
1007.0,25009221300
1065.0,25009221400
846.0,25009221500
900.0,25009221600
1121.0,25009221700
963.0,25009221800
1180.0,25009221901
1170.0,25009221902
1039.0,25009222100
785.0,25009223100
1063.0,25009223200
1245.0,25009223300
707.0,25009250100
1039.0,25009250200
969.0,25009250300
966.0,25009250400
997.0,25009250500
1069.0,25009250600
1043.0,25009250700
1022.0,25009250800
797.0,25009250900
979.0,25009251000
557.0,25009251100
848.0,25009251200
648.0,25009251300
856.0,25009251400
978.0,25009251500
993.0,25009251600
1056.0,25009251700
1150.0,25009251800
1013.0,25009252101
850.0,25009252102
,25009252201
,25009252202
1023.0,25009252300
1133.0,25009252400
1332.0,25009252501
999.0,25009252502
996.0,25009252601
1506.0,25009252602
1071.0,25009252603
1109.0,25009253100
1111.0,25009253201
1587.0,25009253202
2000.0,25009253203
1803.0,25009253204
,25009253205
1228.0,25009254100
918.0,25009254200
1080.0,25009254301
1406.0,25009254302
2035.0,25009254401
1845.0,25009254402
1370.0,25009254403
917.0,25009260100
953.0,25009260200
853.0,25009260301
1063.0,25009260302
1155.0,25009260401
1280.0,25009260402
1285.0,25009260500
1237.0,25009260600
1073.0,25009260700
1040.0,25009260800
975.0,25009260900
1005.0,25009261000
1600.0,25009261101
1062.0,25009261102
1008.0,25009262100
1481.0,25009263100
1135.0,25009264100
870.0,25009265101
1946.0,25009265102
1077.0,25009266100
1120.0,25009266200
1057.0,25009266300
1008.0,25009266400
1159.0,25009267101
1340.0,25009267102
1604.0,25009268100
1155.0,25009268200
1114.0,25009268300
1594.0,25009268400
948.0,25009269100
1316.0,25009270100
,25009990100
871.0,25017300100
768.0,25017301101
1039.0,25017301102
1010.0,25017310100
1044.0,25017310200
1115.0,25017310300
1026.0,25017310400
1284.0,25017310500
904.0,25017310601
1122.0,25017310602
1010.0,25017310700
968.0,25017311100
912.0,25017311200
953.0,25017311300
1240.0,25017311400
1167.0,25017311500
1085.0,25017311600
1020.0,25017311700
1019.0,25017311800
720.0,25017311900
913.0,25017312000
1065.0,25017312100
1198.0,25017312200
1237.0,25017312300
749.0,25017312400
1011.0,25017312501
1057.0,25017312502
1057.0,25017313101
990.0,25017313102
1398.0,25017314101
1128.0,25017314102
949.0,25017314200
