geoid,total (education),noSchool,elementary,middleSchool,highSchool,associates,bachelors,masters,professional,doctorate
25009201100,2522,0,44,44,1016,209,583,422,86,118
25009202101,1446,0,0,12,315,55,586,358,94,26
25009202102,4501,0,163,101,1958,359,1460,327,110,23
25009202200,4062,0,30,31,961,216,1348,890,406,180
25009203100,4369,0,22,39,1090,214,1512,1160,222,110
25009203200,3054,0,11,73,704,181,1105,689,250,41
25009203301,3032,0,13,24,816,216,1319,373,170,101
25009203302,3425,0,0,35,855,169,1244,697,307,118
25009204101,2726,11,100,154,1155,315,717,181,29,64
25009204102,3460,0,119,259,1522,227,768,462,44,59
25009204200,3602,68,223,238,1512,125,786,574,24,52
25009204300,2219,72,342,196,713,179,395,212,61,49
25009204400,2343,15,38,82,889,142,679,290,132,76
25009204500,2312,12,0,139,792,148,699,393,99,30
25009204600,3346,0,69,223,1558,274,901,242,49,30
25009204701,3928,15,84,204,1851,480,690,481,89,34
25009204702,4298,57,98,287,2171,419,882,198,93,93
25009205100,3770,0,46,253,2214,370,663,169,55,0
25009205200,3723,84,75,409,1979,473,462,158,35,48
25009205300,3208,0,42,106,1890,464,501,155,8,42
25009205400,3685,73,57,120,1788,285,807,428,101,26
25009205500,3069,122,558,447,1377,200,292,43,30,0
25009205600,2635,38,67,160,1768,175,274,153,0,0
25009205700,3137,11,132,241,1717,350,377,244,36,29
25009205800,1856,74,191,414,904,109,86,44,27,7
25009205900,2751,118,264,238,1526,200,291,47,47,20
25009206000,1867,79,263,235,1018,106,155,11,0,0
25009206100,2150,108,404,274,956,123,151,134,0,0
25009206200,2852,134,438,474,1305,170,231,43,57,0
25009206300,2019,185,88,251,1301,105,51,32,0,6
25009206400,3269,74,262,79,2000,285,380,165,11,13
25009206500,1735,0,260,173,937,151,96,71,35,12
25009206600,3437,146,262,338,1721,256,359,219,62,74
25009206700,2883,67,281,315,1280,191,366,318,42,23
25009206800,2067,151,300,349,806,124,215,66,50,6
25009206900,3125,105,380,281,1378,191,418,263,48,61
25009207000,1351,15,215,223,677,100,68,53,0,0
25009207100,1765,224,332,204,769,87,121,28,0,0
25009207200,1710,97,196,209,725,250,160,47,14,12
25009208101,3632,0,18,208,2336,306,506,216,31,11
25009208102,2192,25,54,143,1311,183,344,76,39,17
25009208200,3822,0,81,266,2515,314,515,103,14,14
25009208300,5124,29,81,179,3098,470,967,194,94,12
25009208400,4297,22,91,304,2198,315,780,409,132,46
25009209100,4184,0,59,107,1785,421,957,489,222,144
25009209200,3669,0,24,57,1226,268,1264,515,228,87
25009210100,5062,60,153,261,2390,566,834,675,68,55
25009210200,4055,13,77,304,1979,342,871,401,55,13
25009210300,6584,33,89,325,3336,566,1361,670,138,66
25009210400,4983,0,205,108,2413,551,1126,454,67,59
25009210500,4226,26,59,243,2324,402,721,303,127,21
25009210600,2882,73,76,256,1430,297,586,117,36,11
25009210700,2735,0,106,204,1310,320,572,164,11,48
25009210800,3232,18,333,381,1924,107,398,47,0,24
25009210900,2574,52,189,196,1422,82,381,180,72,0
25009211100,2670,0,94,287,1158,318,534,205,47,27
25009211200,4276,11,27,205,1888,460,1071,448,148,18
25009211300,4950,162,60,81,2087,449,1471,589,25,26
25009211401,2242,135,63,49,910,194,418,367,70,36
25009211402,4657,14,60,182,1865,452,1339,533,99,113
25009212100,6089,57,72,611,2522,486,1424,662,176,79
25009213100,5041,0,0,59,1406,386,1729,889,463,109
25009214100,3981,0,11,14,1221,258,1509,788,121,59
25009215101,3307,12,0,0,482,160,1439,1013,120,81
25009215102,1899,21,0,75,616,142,627,337,19,62
25009216100,2458,0,15,23,672,215,921,454,68,90
25009217100,5479,65,111,172,2650,444,1115,719,130,73
25009217201,2870,8,0,51,1570,371,543,252,55,20
25009217202,2722,0,29,99,1205,375,554,411,9,40
25009217300,2653,22,112,157,1502,221,438,164,23,14
25009217400,3936,33,124,246,1597,228,1219,386,47,56
25009217500,4361,0,43,168,1404,400,1244,743,221,138
25009217600,5602,46,160,150,2313,365,1515,704,147,202
25009218100,3561,0,0,147,852,242,1512,596,135,77
25009220101,3229,0,40,132,1009,324,1042,502,98,82
25009220102,2115,0,0,42,762,141,575,403,145,47
25009221100,3478,13,35,103,1543,318,861,456,69,80
25009221300,3585,44,11,98,1455,336,994,443,66,138
25009221400,2449,22,151,287,1323,108,415,93,10,40
25009221500,2327,0,154,270,1383,92,265,81,35,47
25009221600,1522,0,68,224,897,148,120,65,0,0
25009221700,1832,0,138,115,864,307,284,110,0,14
25009221800,1385,0,46,71,569,184,242,209,42,22
25009221901,2406,0,9,102,1049,287,487,301,76,95
25009221902,2576,24,51,22,1126,263,661,291,46,92
25009222100,2441,12,26,109,888,298,718,336,38,16
25009223100,2962,7,14,96,1139,293,813,409,94,97
25009223200,2852,0,120,158,1239,220,772,251,82,10
25009223300,3826,10,14,146,1533,413,696,807,133,74
25009250100,1441,35,388,303,555,31,58,63,0,8
25009250200,3271,202,318,561,1442,189,349,125,67,18
25009250300,1355,136,163,325,587,69,41,34,0,0
25009250400,1988,159,601,237,777,41,170,0,3,0
25009250500,2087,106,498,561,760,45,22,95,0,0
25009250600,2895,106,521,550,1115,163,255,146,5,34
25009250700,2640,128,502,387,1356,163,76,1,27,0
25009250800,3960,124,407,521,2388,151,273,85,11,0
25009250900,1282,59,162,234,684,39,19,85,0,0
25009251000,913,104,114,181,428,23,42,21,0,0
25009251100,1759,80,566,429,594,15,31,21,23,0
25009251200,828,77,141,145,332,43,43,33,0,14
25009251300,1572,110,338,319,713,39,22,31,0,0
25009251400,2833,76,407,309,1340,302,275,112,0,12
25009251500,3688,149,532,372,1925,277,378,39,16,0
25009251600,3034,44,520,581,1569,167,121,26,6,0
25009251700,2925,97,236,342,1306,261,318,310,31,24
25009251800,5414,76,360,680,2653,584,654,299,94,14
25009252101,2328,20,38,337,1160,244,341,168,12,8
25009252102,2541,6,88,57,1154,264,513,345,57,57
25009252201,2034,21,127,134,936,236,339,170,32,39
25009252202,2109,0,61,91,1043,198,486,171,28,31
25009252300,4013,88,196,347,2365,285,410,222,66,34
25009252400,2450,18,346,506,1095,146,279,47,13,0
25009252501,2424,56,156,152,1330,142,404,112,35,37
25009252502,3401,11,100,223,1924,283,560,214,37,49
25009252601,4580,76,178,314,2419,317,848,318,87,23
25009252602,3023,0,145,263,1393,283,525,350,13,51
25009252603,2053,0,10,61,869,247,652,162,17,35
25009253100,3424,26,24,248,1422,289,744,498,109,64
25009253201,1963,0,82,105,745,99,555,293,35,49
25009253202,4211,0,42,171,1527,439,1304,518,150,60
25009253203,2674,13,14,26,739,173,939,544,167,59
25009253204,3073,21,25,56,646,277,981,787,138,142
25009253205,2520,0,0,23,602,98,985,570,183,59
25009254100,4134,32,57,105,1319,331,1049,937,177,127
25009254200,2938,0,58,187,919,167,918,481,116,92
25009254301,2531,27,26,41,602,79,699,683,247,127
25009254302,3112,0,4,39,580,167,1321,602,251,148
25009254401,2190,0,57,19,522,117,712,525,134,104
25009254402,4157,0,0,110,666,257,1746,854,200,324
25009254403,2732,11,35,64,758,187,859,502,242,74
25009260100,2860,29,304,549,1333,123,445,67,0,10
25009260200,2129,2,174,314,1218,109,212,79,21,0
25009260301,3276,29,105,112,1865,424,546,165,22,8
25009260302,2073,4,21,163,931,308,467,159,20,0
25009260401,2998,0,99,221,1507,261,598,236,44,32
25009260402,4273,0,43,175,1857,402,1336,387,54,19
25009260500,2944,0,61,115,1242,309,714,413,80,10
25009260600,2139,7,32,300,1020,217,375,188,0,0
25009260700,2969,68,71,175,1408,436,596,168,47,0
25009260800,2955,45,326,454,1624,140,264,91,0,11
25009260900,3320,0,133,75,1955,349,571,189,34,14
25009261000,2782,33,80,246,1414,264,465,222,40,18
25009261101,2964,0,31,121,979,278,967,529,31,28
25009261102,3364,0,11,71,1657,407,959,204,55,0
25009262100,4374,18,203,271,1950,410,883,506,90,43
25009263100,2706,0,25,10,729,164,1061,474,139,104
25009264100,4134,0,0,198,2026,499,909,471,31,0
25009265101,2478,0,13,37,1155,259,672,285,34,23
25009265102,2679,0,0,33,983,264,894,448,40,17
25009266100,2745,4,80,68,1190,191,694,457,49,12
25009266200,3857,0,62,230,1682,327,978,447,97,34
25009266300,2607,21,68,159,1182,238,637,212,59,31
25009266400,2107,0,50,97,1020,236,387,290,27,0
25009267101,2786,0,31,124,1679,180,470,238,0,64
25009267102,3145,12,31,227,1786,314,521,218,36,0
25009268100,1614,0,8,18,492,192,454,389,27,34
25009268200,4689,0,26,229,1681,346,1520,660,161,66
25009268300,3149,0,23,61,1179,289,1019,396,74,108
25009268400,3468,83,39,72,1088,321,1137,509,115,104
25009269100,4616,0,66,144,1908,365,1233,551,201,148
25009270100,3918,0,12,161,1762,287,1136,351,157,52
25009990100,0,0,0,0,0,0,0,0,0,0
25017300100,2046,16,41,68,1159,151,358,193,48,12
25017301101,2624,0,53,167,1508,267,485,144,0,0
25017301102,3218,0,35,216,1607,297,755,247,39,22
25017310100,2963,147,257,151,1244,206,446,394,61,57
25017310200,4375,59,131,441,2609,340,553,186,9,47
25017310300,3981,193,232,405,2025,341,483,284,18,0
25017310400,1920,35,243,468,936,70,97,71,0,0
25017310500,1688,28,60,160,961,46,300,118,0,15
25017310601,4252,52,254,460,2129,197,787,298,22,53
25017310602,3922,30,171,318,2041,282,696,311,19,54
25017310700,2442,218,74,484,1113,163,294,59,37,0
25017311100,1324,67,119,243,659,26,121,81,0,8
25017311200,1741,142,208,235,846,108,175,14,13,0
25017311300,2078,206,12,136,945,304,326,131,0,18
25017311400,4104,271,307,232,1956,592,483,174,0,89
25017311500,2079,134,175,295,812,74,326,231,6,26
25017311600,3461,204,83,318,1470,280,714,323,30,39
25017311700,2890,324,77,596,1389,166,272,48,13,5
25017311800,2173,316,224,328,948,35,242,32,48,0
25017311900,1629,105,253,258,679,117,145,72,0,0
25017312000,2103,109,244,300,1088,56,240,55,11,0
25017312100,1655,76,150,154,839,77,250,83,26,0
25017312200,2783,99,187,252,1472,200,458,68,44,3
25017312300,3765,9,98,357,1966,371,770,184,0,10
25017312400,1374,9,176,252,635,114,182,6,0,0
25017312501,2906,20,123,197,1103,226,741,424,72,0
25017312502,2552,40,52,85,976,207,591,477,105,19
25017313101,3284,14,32,145,1358,260,857,551,41,26
25017313102,3945,0,52,196,1919,449,947,292,52,38
25017314101,3954,35,101,396,2070,265,740,252,66,29
25017314102,4965,69,57,419,3045,491,640,213,23,8
25017314200,3625,80,214,313,1868,343,472,292,43,0
25017314301,5627,34,85,506,3010,510,1010,391,51,30
25017314302,2067,7,38,86,991,274,513,113,20,25
25017315100,3912,34,29,105,1936,373,1021,313,101,0
25017315200,5661,24,172,425,2853,420,970,681,58,58
25017315401,2441,0,50,134,1276,239,492,219,19,12
25017315402,1826,0,8,46,942,186,445,160,17,22
25017315403,1155,10,33,66,737,71,161,66,0,11
25017315500,5103,80,84,266,2631,564,1067,365,22,24
25017316101,3375,36,48,90,1829,272,691,337,61,11
25017316102,4077,15,131,179,2140,569,497,503,31,12
25017316201,2850,0,70,132,1590,264,544,210,10,30
25017316202,2777,25,48,120,1574,286,515,172,10,27
25017316300,5405,48,40,325,2263,583,1378,614,84,70
25017316400,4229,10,30,342,2236,438,798,316,22,37
25017316500,4516,90,146,247,2349,605,709,287,32,51
25017317101,4284,0,83,142,1555,395,1005,912,83,109
25017317102,2797,29,47,100,1090,268,765,391,34,73
25017317103,3451,0,63,74,1183,300,1024,546,114,147
25017317201,1915,0,43,31,468,221,583,512,0,57
25017317202,2459,0,10,28,830,215,714,496,87,79
25017317203,2920,11,77,119,1224,187,663,477,59,103
25017317301,1764,0,13,50,727,208,438,248,43,37
25017317302,4094,46,136,233,1534,267,1069,709,40,60
25017318100,4370,19,31,152,1306,335,1277,967,85,198
25017318200,2509,21,41,89,762,200,681,555,54,106
25017318300,4675,0,0,36,925,331,1855,1275,102,151
25017318400,2488,0,0,48,587,256,768,605,116,108
25017320102,3010,0,8,53,686,168,1286,580,77,152
25017320103,1683,0,0,110,421,93,558,283,113,105
25017320104,4323,60,0,21,971,384,1761,895,160,71
25017321100,5282,36,71,242,2512,336,1145,732,138,70
25017321200,4530,0,70,322,2302,266,1114,324,68,64
25017321300,5436,43,260,1025,2395,286,838,373,60,156
25017321400,2235,0,18,103,834,154,680,347,38,61
25017321500,4747,59,242,423,1907,229,1281,481,95,30
25017321600,5285,0,23,251,2070,345,1618,797,74,107
25017322100,3204,38,46,124,1212,335,925,398,56,70
25017322200,2787,52,97,178,1201,182,732,271,49,25
25017322300,4417,91,248,258,2243,232,803,433,86,23
25017322400,2980,60,143,209,1504,106,647,237,16,58
25017323100,4395,0,13,59,1207,174,1552,1004,201,185
25017324101,3354,19,61,76,1273,318,816,525,196,70
25017324102,2631,0,13,70,902,190,847,503,25,81
25017325100,4994,12,7,377,2424,400,1091,540,79,64
25017326101,2324,8,0,0,382,147,898,629,65,195
25017326102,4080,0,35,117,1034,264,1720,724,45,141
25017327101,2149,0,11,82,763,275,666,290,45,17
25017327102,2647,0,10,175,1429,277,492,203,48,13
25017327103,2566,22,102,107,924,311,663,414,0,23
25017328100,2017,3,18,74,823,242,561,241,18,37
25017330100,5465,29,122,116,2068,390,1696,675,265,104
25017330200,4419,42,50,193,2263,254,1119,344,138,16
25017331101,2173,0,20,96,1186,77,467,237,70,20
25017331102,4569,0,42,166,2104,477,1025,571,106,78
25017331200,3440,0,55,113,1948,314,633,290,38,49
25017331300,4549,30,16,231,2188,376,1168,399,26,115
25017332100,3978,0,40,83,1593,525,1001,574,75,87
25017332200,5593,0,51,260,2260,410,1484,911,133,84
25017332300,4902,53,77,235,1885,363,1352,755,117,65
25017332400,2550,0,36,74,892,107,691,611,43,96
25017333100,5138,24,27,171,2547,519,996,698,84,72
25017333200,3703,14,0,153,2129,173,782,374,15,63
25017333300,2707,66,191,298,1390,97,547,98,11,9
25017333400,4509,41,145,191,2528,408,761,332,81,22
25017333501,3461,0,16,138,1800,220,818,333,30,106
25017333502,2549,9,127,58,1556,124,454,203,9,9
25017333600,5017,29,19,342,2271,513,862,713,114,154
25017334100,3706,0,17,37,979,315,1332,699,132,195
25017334200,2815,25,34,36,759,304,883,503,107,164
25017334300,5311,14,22,149,2001,267,1738,783,192,145
25017334400,4551,0,70,157,1767,408,1184,832,87,46
25017335100,4308,0,30,131,1410,399,1686,571,39,42
25017335200,4088,15,39,72,1632,296,1175,698,94,67
25017335301,2414,0,30,116,938,271,647,304,67,41
25017335302,3083,0,35,145,1437,295,714,319,64,74
25017335400,3685,0,21,187,1400,316,1158,461,76,66
25017336100,3976,33,23,45,1431,337,1178,587,265,77
25017336200,4099,0,60,179,1622,337,1138,614,96,53
25017336300,4477,0,18,166,1807,319,1196,631,110,230
25017336401,3253,0,13,52,1529,175,831,512,57,84
25017336402,3427,12,135,79,1320,185,1137,401,75,83
25017337101,2374,0,155,66,999,98,561,397,78,20
25017337102,3869,11,83,173,1659,304,1196,382,21,40
25017337201,2343,18,24,204,1016,182,522,307,46,24
25017337202,3700,91,28,189,1774,288,873,317,74,66
25017337300,3497,0,53,202,1810,222,715,409,34,52
25017338100,1892,13,13,20,431,96,527,479,149,164
25017338200,2734,25,42,67,937,200,733,555,46,129
25017338300,2120,5,0,37,310,136,581,671,213,167
25017338400,3838,32,11,18,669,151,1435,738,566,218
25017338500,3537,0,27,73,689,189,976,1027,398,158
25017339100,5218,56,83,459,2017,211,1413,714,157,108
25017339200,4235,0,137,145,1447,316,1249,639,214,88
25017339300,2119,10,0,84,929,62,453,452,81,48
25017339400,2200,10,32,101,1008,56,527,353,41,72
25017339500,2934,33,69,115,1003,215,681,665,63,90
25017339600,3630,65,64,329,1396,131,1085,396,120,44
25017339700,3007,36,108,302,1441,167,681,217,27,28
25017339801,3195,48,247,248,1135,215,779,245,102,176
25017339802,3161,16,81,142,1872,100,500,304,38,108
25017339900,3557,71,238,320,1586,116,816,285,90,35
25017340000,1890,10,137,198,927,114,415,86,3,0
25017340100,5067,37,256,113,2697,317,1058,492,82,15
25017341101,2277,57,130,94,860,226,504,346,26,34
25017341102,3287,89,129,135,1143,224,988,434,50,95
25017341200,4482,95,449,406,2412,176,700,172,55,17
25017341300,4059,105,186,215,1529,205,753,630,229,207
25017341400,4543,208,191,290,2543,393,459,312,90,57
25017341500,3321,55,277,295,1596,232,643,201,22,0
25017341600,4631,215,248,293,2374,180,887,275,69,90
25017341700,4027,14,124,317,1848,243,957,380,73,71
25017341800,4410,175,130,498,2302,301,590,292,24,98
25017341901,1026,0,0,129,644,111,92,10,31,9
25017341902,4750,67,292,223,2167,530,938,419,62,52
25017342101,3095,51,182,200,1875,223,345,162,48,9
25017342102,2579,107,128,348,1448,254,214,43,12,25
25017342201,3624,42,288,555,1935,228,430,134,12,0
25017342202,2428,35,124,193,1469,142,234,179,7,45
25017342300,4493,152,295,518,2386,166,697,190,69,20
25017342400,4086,122,377,356,2453,243,347,128,60,0
25017342500,4785,98,324,702,2672,313,479,168,29,0
25017342600,2944,103,245,367,1746,144,237,53,0,49
25017350103,958,32,54,34,410,46,214,138,12,18
25017350104,4431,179,323,411,1861,200,962,274,124,97
25017350200,4798,39,127,233,2201,167,1333,527,103,68
25017350300,1915,19,143,69,778,21,503,301,40,41
25017350400,4002,11,63,35,887,209,1300,1099,186,212
25017350500,1267,0,12,0,320,66,502,248,95,24
25017350600,1728,10,17,64,303,69,602,490,57,116
25017350700,4073,57,142,434,1516,113,1188,481,59,83
25017350800,1372,0,7,58,342,34,461,255,95,120
25017350900,2710,0,36,21,487,67,844,747,245,263
25017351000,5141,17,87,139,994,197,1645,1356,273,433
25017351100,4330,36,185,402,1032,270,1221,759,105,320
25017351203,3032,34,142,64,721,63,961,769,99,179
25017351204,2974,12,142,118,810,41,877,564,185,225
25017351300,3424,97,142,68,1483,303,757,379,135,60
25017351403,2462,62,167,210,1075,150,613,126,45,14
25017351404,2438,179,155,264,1048,166,346,176,58,46
25017351500,1713,8,182,379,781,9,201,105,11,37
