total (education),geoid,noSchool,elementary,middleSchool,highSchool,associates,bachelors,masters,professional,doctorate
2772,25009201100,0,19,64,923,180,889,364,173,160
1543,25009202101,16,3,29,332,192,483,358,97,33
4796,25009202102,12,51,50,1976,466,1265,676,171,129
4370,25009202200,19,0,98,1162,167,1417,944,313,250
4912,25009203100,14,18,35,898,308,2089,1011,374,165
3223,25009203200,0,10,24,765,149,1218,738,238,81
2988,25009203301,7,0,71,887,175,969,680,122,77
3592,25009203302,0,0,30,745,88,1527,865,217,120
2969,25009204101,20,77,54,1359,234,873,239,40,73
3229,25009204102,19,60,82,1405,235,831,439,122,36
3511,25009204200,43,129,164,1251,163,988,618,16,139
2921,25009204300,88,334,235,1032,223,605,296,44,64
2806,25009204400,58,35,65,1140,103,805,472,71,57
2600,25009204500,6,0,97,889,155,732,557,117,47
3838,25009204600,2,133,203,1797,235,798,425,184,61
4127,25009204701,81,75,225,1852,200,1059,459,39,137
4530,25009204702,42,149,199,2152,296,1134,537,1,20
3534,25009205100,63,292,157,1909,286,447,320,60,0
3650,25009205200,30,382,350,1711,370,509,187,47,64
2725,25009205300,1,90,129,1422,200,608,255,11,9
3472,25009205400,47,22,107,1712,415,724,331,27,87
3242,25009205500,115,526,353,1585,248,287,108,7,13
2185,25009205600,73,102,177,1140,261,310,95,27,0
3456,25009205700,76,200,217,1818,273,745,110,17,0
2056,25009205800,119,227,142,1162,178,168,60,0,0
2737,25009205900,18,317,232,1490,144,464,72,0,0
2092,25009206000,302,329,138,970,136,156,45,16,0
2588,25009206100,140,562,247,1247,110,202,73,7,0
3479,25009206200,220,703,507,1450,249,291,59,0,0
2864,25009206300,160,271,390,1330,218,400,41,34,20
3671,25009206400,138,149,425,1881,331,527,177,10,33
2090,25009206500,137,459,91,1010,103,161,110,19,0
3434,25009206600,178,208,347,1683,356,364,205,67,26
2772,25009206700,70,144,188,1467,248,423,168,36,28
2659,25009206800,170,582,378,1145,127,187,56,14,0
3216,25009206900,81,197,274,1649,300,523,147,14,31
1421,25009207000,127,354,130,567,119,75,13,36,0
2290,25009207100,394,361,181,923,264,167,0,0,0
1554,25009207200,98,67,88,1006,81,156,38,14,6
3519,25009208101,10,46,277,2040,251,695,138,55,7
2418,25009208102,27,127,92,1386,179,433,133,8,33
4165,25009208200,97,22,164,2379,362,810,270,42,19
5972,25009208300,79,150,181,3375,439,1090,417,139,102
5026,25009208400,129,134,185,2403,493,1023,505,70,84
4423,25009209100,64,0,94,1539,440,1295,758,156,77
4267,25009209200,64,7,57,1307,333,1341,830,178,150
4936,25009210100,98,88,71,1940,479,1590,555,101,14
4033,25009210200,23,21,140,2035,516,820,403,69,6
7462,25009210300,19,263,305,3156,570,1795,1132,113,109
5247,25009210400,58,97,280,2478,635,991,468,161,79
4842,25009210500,155,48,141,2168,532,1230,483,18,67
3193,25009210600,152,160,111,1502,256,744,177,34,57
2985,25009210700,71,254,312,1557,167,521,93,10,0
3464,25009210800,77,207,297,1931,275,431,184,35,27
3234,25009210900,109,228,111,1671,222,621,189,12,71
3071,25009211100,18,45,162,1316,389,775,312,34,20
4739,25009211200,18,33,201,1994,549,1289,444,105,106
4675,25009211300,0,50,202,1744,409,1288,841,70,71
3200,25009211401,33,69,218,1322,435,658,326,98,41
4563,25009211402,25,43,166,1546,506,1204,800,137,136
7066,25009212100,12,171,426,3101,581,1909,581,180,105
5615,25009213100,0,0,104,1184,501,2032,1208,363,223
4656,25009214100,13,51,66,1288,241,1310,1296,197,194
3296,25009215101,0,9,33,554,274,1236,939,142,109
2052,25009215102,0,18,36,628,90,712,282,183,103
2703,25009216100,1,24,11,678,161,1132,541,105,50
5475,25009217100,3,28,172,1847,714,1684,723,188,116
2986,25009217201,62,33,26,911,358,1040,380,104,72
2569,25009217202,0,42,127,790,263,803,493,36,15
3286,25009217300,48,31,193,1394,289,793,394,61,83
4420,25009217400,58,71,104,2160,390,1029,523,27,58
4431,25009217500,15,22,69,1446,253,1214,943,223,246
5516,25009217600,51,127,109,1598,363,2041,956,119,152
3842,25009218100,0,0,64,871,188,1369,977,169,204
3426,25009220101,0,8,35,963,279,1264,644,164,69
2426,25009220102,10,10,94,918,207,741,350,33,63
3313,25009221100,38,64,65,1166,351,933,536,99,61
3924,25009221300,13,27,117,1365,330,1226,499,220,127
2452,25009221400,63,126,168,1012,256,512,225,0,90
2500,25009221500,47,96,190,1339,230,378,180,31,9
1840,25009221600,10,90,37,985,211,348,149,5,5
2037,25009221700,15,95,99,890,251,343,256,22,66
1546,25009221800,8,66,35,627,102,473,188,25,22
2745,25009221901,30,9,59,1084,346,664,352,112,89
2818,25009221902,4,35,142,1381,249,651,232,100,24
2673,25009222100,22,0,30,879,184,872,477,114,95
3216,25009223100,37,7,26,1176,254,914,573,186,43
2831,25009223200,14,24,123,1007,247,832,448,81,55
4026,25009223300,0,0,15,1212,481,1285,698,249,86
1968,25009250100,171,359,196,837,83,214,73,35,0
3586,25009250200,116,436,452,2003,107,423,40,0,9
1214,25009250300,92,167,243,570,57,48,0,26,11
2549,25009250400,118,638,531,1170,59,13,0,20,0
2236,25009250500,69,492,400,1127,26,60,21,22,19
3130,25009250600,122,397,395,1797,139,174,94,12,0
3131,25009250700,141,640,553,1552,35,152,58,0,0
5134,25009250800,79,564,744,3102,296,313,36,0,0
1256,25009250900,62,319,151,552,80,59,15,14,4
1169,25009251000,20,191,289,551,39,65,6,0,8
2101,25009251100,80,495,161,1039,75,189,62,0,0
873,25009251200,47,263,89,411,19,37,7,0,0
2051,25009251300,114,642,402,712,47,88,31,15,0
3214,25009251400,192,412,357,1737,136,278,93,9,0
3354,25009251500,74,167,525,1943,252,261,103,19,10
3892,25009251600,69,656,477,2099,99,387,44,44,17
3641,25009251700,113,413,370,1864,241,474,128,14,24
5151,25009251800,237,432,435,2476,562,434,380,164,31
2597,25009252101,48,123,211,1407,239,392,117,53,7
2936,25009252102,20,35,64,974,545,678,517,55,48
2364,25009252201,67,16,207,1204,181,409,237,18,25
2392,25009252202,41,35,47,1236,189,549,257,19,19
5347,25009252300,118,591,341,3132,387,489,248,27,14
2744,25009252400,144,276,250,1403,259,300,111,1,0
2779,25009252501,67,149,198,1594,150,339,259,11,12
