geoid,medianInc
25009201100,81831.0
25009202101,106276.0
25009202102,69647.0
25009202200,105909.0
25009203100,115000.0
25009203200,102321.0
25009203301,73674.0
25009203302,80148.0
25009204101,57564.0
25009204102,69913.0
25009204200,42717.0
25009204300,37569.0
25009204400,56552.0
25009204500,63578.0
25009204600,62606.0
25009204701,58066.0
25009204702,65922.0
25009205100,63144.0
25009205200,67813.0
25009205300,71472.0
25009205400,93125.0
25009205500,47656.0
25009205600,44440.0
25009205700,60216.0
25009205800,45402.0
25009205900,42061.0
25009206000,34332.0
25009206100,29157.0
25009206200,37041.0
25009206300,32422.0
25009206400,50472.0
25009206500,41328.0
25009206600,43785.0
25009206700,34738.0
25009206800,15601.0
25009206900,19035.0
25009207000,20585.0
25009207100,29833.0
25009207200,23632.0
25009208101,64162.0
25009208102,72457.0
25009208200,50577.0
25009208300,75996.0
25009208400,82964.0
25009209100,81481.0
25009209200,101250.0
25009210100,84588.0
25009210200,87923.0
25009210300,54684.0
25009210400,75426.0
25009210500,73232.0
25009210600,61480.0
25009210700,50938.0
25009210800,37313.0
25009210900,54205.0
25009211100,60849.0
25009211200,67800.0
25009211300,92428.0
25009211401,68224.0
25009211402,81693.0
25009212100,87728.0
25009213100,143045.0
25009214100,115015.0
25009215101,103354.0
25009215102,86927.0
25009216100,132697.0
25009217100,74068.0
25009217201,59292.0
25009217202,74133.0
25009217300,46319.0
25009217400,54287.0
25009217500,77364.0
25009217600,95625.0
25009218100,105000.0
25009220101,67478.0
25009220102,82826.0
25009221100,87813.0
25009221300,70431.0
25009221400,60299.0
25009221500,39262.0
25009221600,34085.0
25009221700,41346.0
25009221800,78542.0
25009221901,68702.0
25009221902,75403.0
25009222100,76989.0
25009223100,72074.0
25009223200,63297.0
25009223300,103952.0
25009250100,13545.0
25009250200,45426.0
25009250300,32209.0
25009250400,22761.0
25009250500,40869.0
25009250600,45787.0
25009250700,28815.0
25009250800,40355.0
25009250900,25679.0
25009251000,21902.0
25009251100,15059.0
25009251200,19406.0
25009251300,15394.0
25009251400,40909.0
25009251500,38221.0
25009251600,29750.0
25009251700,46233.0
25009251800,54845.0
25009252101,55765.0
25009252102,84741.0
25009252201,67188.0
25009252202,107695.0
25009252300,43363.0
25009252400,41657.0
25009252501,53496.0
25009252502,62407.0
25009252601,64620.0
25009252602,86118.0
25009252603,89545.0
25009253100,53430.0
25009253201,70137.0
25009253202,77383.0
25009253203,126964.0
25009253204,142188.0
25009253205,147813.0
25009254100,74688.0
25009254200,71494.0
25009254301,126795.0
25009254302,140469.0
25009254401,121989.0
25009254402,131797.0
25009254403,136659.0
25009260100,30659.0
25009260200,32245.0
25009260301,70444.0
25009260302,78808.0
25009260401,85855.0
25009260402,84233.0
25009260500,91294.0
25009260600,56458.0
25009260700,55096.0
25009260800,38987.0
25009260900,44292.0
25009261000,55284.0
25009261101,106071.0
25009261102,66189.0
25009262100,75517.0
25009263100,111739.0
25009264100,84232.0
25009265101,86786.0
25009265102,108190.0
25009266100,88824.0
25009266200,64179.0
25009266300,74730.0
25009266400,71200.0
25009267101,62311.0
25009267102,63347.0
25009268100,108102.0
25009268200,81225.0
25009268300,64290.0
25009268400,64259.0
25009269100,91052.0
25009270100,74911.0
25009990100,
25017300100,80143.0
25017301101,68940.0
25017301102,85313.0
25017310100,32190.0
25017310200,65290.0
25017310300,47344.0
25017310400,46793.0
25017310500,56328.0
25017310601,58590.0
25017310602,54764.0
25017310700,43214.0
25017311100,35151.0
25017311200,42899.0
25017311300,54764.0
25017311400,46250.0
25017311500,49863.0
25017311600,63750.0
25017311700,56869.0
25017311800,43250.0
25017311900,25163.0
25017312000,60691.0
25017312100,44254.0
25017312200,60457.0
25017312300,59211.0
25017312400,30583.0
25017312501,80179.0
25017312502,74861.0
25017313101,106111.0
25017313102,81156.0
25017314101,67572.0
25017314102,63404.0
25017314200,67784.0
25017314301,75605.0
25017314302,99615.0
25017315100,98234.0
25017315200,73466.0
25017315401,65565.0
25017315402,106382.0
25017315403,74224.0
25017315500,86296.0
25017316101,93291.0
25017316102,86514.0
25017316201,90143.0
25017316202,94217.0
25017316300,78542.0
25017316400,90375.0
25017316500,84589.0
25017317101,75050.0
25017317102,84719.0
25017317103,120707.0
25017317201,140231.0
25017317202,124219.0
25017317203,79674.0
25017317301,68452.0
25017317302,74000.0
25017318100,101471.0
