medianInc,geoid
97778.0,25009201100
135481.0,25009202101
80433.0,25009202102
149263.0,25009202200
166875.0,25009203100
103964.0,25009203200
90352.0,25009203301
102542.0,25009203302
63811.0,25009204101
75265.0,25009204102
55423.0,25009204200
36845.0,25009204300
73889.0,25009204400
88468.0,25009204500
90714.0,25009204600
70045.0,25009204701
70603.0,25009204702
76797.0,25009205100
49639.0,25009205200
104931.0,25009205300
108799.0,25009205400
60550.0,25009205500
49026.0,25009205600
76484.0,25009205700
59410.0,25009205800
80264.0,25009205900
50675.0,25009206000
31000.0,25009206100
60453.0,25009206200
62235.0,25009206300
71791.0,25009206400
41019.0,25009206500
48750.0,25009206600
44167.0,25009206700
29205.0,25009206800
25132.0,25009206900
26346.0,25009207000
50444.0,25009207100
33875.0,25009207200
78359.0,25009208101
79394.0,25009208102
80669.0,25009208200
82361.0,25009208300
109888.0,25009208400
108854.0,25009209100
151168.0,25009209200
117204.0,25009210100
106844.0,25009210200
57424.0,25009210300
78551.0,25009210400
92894.0,25009210500
59786.0,25009210600
54153.0,25009210700
50440.0,25009210800
81333.0,25009210900
84306.0,25009211100
81154.0,25009211200
93368.0,25009211300
80547.0,25009211401
106083.0,25009211402
125204.0,25009212100
184007.0,25009213100
136863.0,25009214100
147273.0,25009215101
93875.0,25009215102
128056.0,25009216100
88478.0,25009217100
82317.0,25009217201
101250.0,25009217202
56705.0,25009217300
56615.0,25009217400
96029.0,25009217500
110694.0,25009217600
148854.0,25009218100
82169.0,25009220101
85777.0,25009220102
89817.0,25009221100
93077.0,25009221300
52146.0,25009221400
41953.0,25009221500
46645.0,25009221600
54349.0,25009221700
108382.0,25009221800
93229.0,25009221901
81399.0,25009221902
106283.0,25009222100
83980.0,25009223100
65298.0,25009223200
115906.0,25009223300
22682.0,25009250100
44659.0,25009250200
44103.0,25009250300
35938.0,25009250400
41801.0,25009250500
51843.0,25009250600
51250.0,25009250700
51520.0,25009250800
21911.0,25009250900
52434.0,25009251000
20513.0,25009251100
24773.0,25009251200
35779.0,25009251300
51862.0,25009251400
46825.0,25009251500
50625.0,25009251600
56207.0,25009251700
64431.0,25009251800
60096.0,25009252101
117212.0,25009252102
83438.0,25009252201
113650.0,25009252202
69729.0,25009252300
46844.0,25009252400
67168.0,25009252501
70588.0,25009252502
73894.0,25009252601
121375.0,25009252602
95110.0,25009252603
78634.0,25009253100
86563.0,25009253201
91734.0,25009253202
168125.0,25009253203
160238.0,25009253204
205066.0,25009253205
140104.0,25009254100
82396.0,25009254200
187500.0,25009254301
166649.0,25009254302
163301.0,25009254401
158205.0,25009254402
167656.0,25009254403
35051.0,25009260100
43065.0,25009260200
92782.0,25009260301
117500.0,25009260302
86302.0,25009260401
107131.0,25009260402
83750.0,25009260500
63476.0,25009260600
58775.0,25009260700
45271.0,25009260800
47321.0,25009260900
65580.0,25009261000
106653.0,25009261101
74470.0,25009261102
84609.0,25009262100
149167.0,25009263100
103125.0,25009264100
111625.0,25009265101
142561.0,25009265102
106600.0,25009266100
81381.0,25009266200
71492.0,25009266300
80216.0,25009266400
74983.0,25009267101
95000.0,25009267102
160625.0,25009268100
104561.0,25009268200
81667.0,25009268300
124318.0,25009268400
101875.0,25009269100
115909.0,25009270100
,25009990100
97958.0,25017300100
84904.0,25017301101
99830.0,25017301102
38015.0,25017310100
61892.0,25017310200
52520.0,25017310300
45486.0,25017310400
59063.0,25017310500
59821.0,25017310601
76523.0,25017310602
41875.0,25017310700
54632.0,25017311100
43533.0,25017311200
62404.0,25017311300
59792.0,25017311400
62111.0,25017311500
66020.0,25017311600
78359.0,25017311700
52250.0,25017311800
25238.0,25017311900
46518.0,25017312000
46333.0,25017312100
62582.0,25017312200
75767.0,25017312300
34246.0,25017312400
89757.0,25017312501
96919.0,25017312502
119764.0,25017313101
106987.0,25017313102
96875.0,25017314101
85904.0,25017314102
72382.0,25017314200
86128.0,25017314301
119155.0,25017314302
113689.0,25017315100
99600.0,25017315200
77500.0,25017315401
119840.0,25017315402
117014.0,25017315403
102875.0,25017315500
113194.0,25017316101
