geoid,total (occupation),top_occ,service,sales,nat_construction,production
25009201100,1965,1081,290,439,66,89
25009202101,1266,864,118,193,79,12
25009202102,3155,1432,520,897,170,136
25009202200,3016,1924,185,759,69,79
25009203100,3152,1887,177,872,74,142
25009203200,2273,1268,177,598,109,121
25009203301,2391,1341,189,545,149,167
25009203302,2303,1507,134,428,116,118
25009204101,2616,926,599,832,130,129
25009204102,2500,1066,388,711,139,196
25009204200,2828,1090,847,602,141,148
25009204300,1805,597,508,428,67,205
25009204400,1829,917,221,426,67,198
25009204500,1865,903,167,509,138,148
25009204600,2917,1207,333,706,276,395
25009204701,2775,1048,504,938,156,129
25009204702,3425,1293,645,880,222,385
25009205100,2952,855,501,1008,270,318
25009205200,3004,1005,352,1154,222,271
25009205300,2385,716,461,826,131,251
25009205400,2758,1044,518,708,266,222
25009205500,2311,405,836,570,289,211
25009205600,1700,392,343,562,253,150
25009205700,2375,774,434,619,249,299
25009205800,1529,282,581,287,82,297
25009205900,1935,472,427,481,264,291
25009206000,1393,145,453,449,219,127
25009206100,1668,258,461,444,164,341
25009206200,2272,362,595,436,292,587
25009206300,1324,145,367,381,204,227
25009206400,2585,695,590,744,286,270
25009206500,1352,228,376,290,153,305
25009206600,2347,558,599,671,264,255
25009206700,2050,805,294,443,139,369
25009206800,1058,198,349,264,8,239
25009206900,1862,480,392,690,132,168
25009207000,705,68,281,174,74,108
25009207100,1647,135,492,458,290,272
25009207200,1198,207,355,406,94,136
25009208101,2503,1037,513,604,171,178
25009208102,1752,568,331,496,123,234
25009208200,2667,821,411,896,278,261
25009208300,3709,1279,532,993,422,483
25009208400,3060,1380,313,968,194,205
25009209100,2970,1467,326,884,129,164
25009209200,2745,1456,208,873,129,79
25009210100,3752,1436,736,942,303,335
25009210200,2924,1032,373,967,236,316
25009210300,3518,1396,555,1037,294,236
25009210400,3731,1573,463,1108,259,328
25009210500,3391,1127,523,1051,353,337
25009210600,2064,716,399,608,154,187
25009210700,2114,622,482,539,155,316
25009210800,2257,408,597,586,96,570
25009210900,1820,583,390,458,95,294
25009211100,2088,782,411,514,147,234
25009211200,3535,1540,479,1044,214,258
25009211300,3809,1932,540,794,243,300
25009211401,1627,735,291,336,150,115
25009211402,3235,1397,434,938,211,255
25009212100,3657,1639,393,978,362,285
25009213100,3916,2353,370,812,210,171
25009214100,2913,1562,341,728,168,114
25009215101,2231,1210,143,636,137,105
25009215102,1416,805,190,279,96,46
25009216100,2260,985,400,682,107,86
25009217100,3817,1690,481,984,294,368
25009217201,1961,899,256,542,132,132
25009217202,2033,941,230,541,148,173
25009217300,2032,540,373,749,184,186
25009217400,3654,1822,606,916,29,281
25009217500,3550,1869,423,826,214,218
25009217600,3811,1917,478,973,198,245
25009218100,2274,1373,121,602,91,87
25009220101,1917,942,293,398,153,131
25009220102,1438,818,165,279,105,71
25009221100,2451,1048,439,453,232,279
25009221300,2312,979,421,533,189,190
25009221400,1787,509,459,390,244,185
25009221500,1675,390,446,370,60,409
25009221600,1076,248,227,324,50,227
25009221700,1125,365,325,156,164,115
25009221800,888,456,144,167,65,56
25009221901,1606,537,149,594,146,180
25009221902,1888,896,265,493,161,73
25009222100,1974,969,369,346,200,90
25009223100,2000,1242,238,255,144,121
25009223200,1824,882,238,400,103,201
25009223300,2988,1407,384,959,139,99
25009250100,718,151,201,118,73,175
25009250200,2557,539,478,577,298,665
25009250300,879,72,209,202,46,350
25009250400,1365,56,409,323,165,412
25009250500,1815,148,429,422,153,663
25009250600,2129,444,479,490,302,414
25009250700,1751,175,765,114,62,635
25009250800,3266,600,636,851,375,804
25009250900,895,218,155,182,74,266
25009251000,438,64,101,75,26,172
25009251100,590,89,126,141,62,172
25009251200,543,55,152,156,22,158
25009251300,901,70,202,243,47,339
25009251400,1921,511,536,398,117,359
25009251500,2717,678,648,596,100,695
25009251600,2179,282,596,464,73,764
25009251700,2162,554,601,384,96,527
25009251800,4231,1313,877,794,306,941
25009252101,1623,644,172,500,163,144
25009252102,1841,905,262,391,181,102
25009252201,1683,574,328,450,182,149
25009252202,1827,793,284,462,151,137
25009252300,2915,1008,351,853,207,496
25009252400,1826,345,388,493,171,429
25009252501,1464,533,315,317,164,135
25009252502,2302,853,236,665,169,379
25009252601,3367,1681,402,857,182,245
25009252602,2273,778,442,576,200,277
25009252603,1726,777,137,498,148,166
25009253100,2405,1053,437,561,157,197
25009253201,1370,788,243,232,80,27
25009253202,3633,1535,674,1013,134,277
25009253203,1950,1112,158,562,103,15
25009253204,2484,1567,185,571,65,96
25009253205,2001,1310,169,357,92,73
25009254100,2987,1872,284,568,39,224
25009254200,2009,1230,250,367,65,97
25009254301,1794,1421,80,216,32,45
25009254302,2280,1544,139,509,63,25
25009254401,1555,1055,86,289,77,48
25009254402,3048,2177,209,540,47,75
25009254403,1911,1154,175,470,62,50
25009260100,1913,309,475,432,216,481
25009260200,1283,368,363,288,106,158
25009260301,2482,1020,457,593,118,294
25009260302,1654,714,251,402,180,107
25009260401,2205,955,296,671,127,156
25009260402,3425,1573,383,807,373,289
25009260500,2057,1036,92,587,172,170
25009260600,1769,619,512,338,224,76
25009260700,2291,792,405,539,327,228
25009260800,2072,473,600,470,171,358
25009260900,2121,636,555,583,128,219
25009261000,2108,722,407,620,152,207
25009261101,2358,1240,275,571,188,84
25009261102,3044,1164,398,1058,156,268
25009262100,3437,1533,464,607,322,511
25009263100,2142,1322,233,447,66,74
25009264100,3003,1302,318,667,319,397
25009265101,2025,900,247,526,172,180
25009265102,2088,1102,291,404,196,95
25009266100,2159,933,317,538,233,138
25009266200,2949,1343,318,748,302,238
25009266300,2132,855,242,630,146,259
25009266400,1785,881,173,498,113,120
25009267101,2251,873,517,499,144,218
25009267102,2399,723,372,800,238,266
25009268100,1365,717,211,327,52,58
25009268200,3222,1711,304,955,47,205
25009268300,2289,1284,396,482,44,83
25009268400,2416,1293,284,613,110,116
25009269100,3510,1768,334,734,349,325
25009270100,3069,1155,524,745,426,219
25009990100,0,0,0,0,0,0
25017300100,1648,602,193,456,243,154
25017301101,1890,703,334,444,224,185
25017301102,2708,1194,388,599,187,340
25017310100,1912,992,374,306,102,138
25017310200,3422,1206,550,643,468,555
25017310300,3066,704,922,574,346,520
25017310400,1203,206,301,271,190,235
25017310500,1772,765,269,499,73,166
25017310601,2797,1054,521,628,226,368
25017310602,3234,1210,458,775,550,241
25017310700,1614,474,384,295,86,375
25017311100,863,196,163,159,56,289
25017311200,1346,230,188,328,74,526
25017311300,1757,517,271,563,105,301
25017311400,3508,1040,701,718,240,809
25017311500,1495,374,351,426,25,319
25017311600,2668,1145,364,425,227,507
25017311700,2571,526,461,545,213,826
25017311800,1391,278,313,349,76,375
25017311900,913,303,214,179,66,151
25017312000,1311,228,339,253,128,363
25017312100,1219,276,376,237,171,159
25017312200,2098,797,385,367,136,413
25017312300,3051,1033,629,799,152,438
25017312400,982,342,229,245,10,156
25017312501,2140,916,395,427,130,272
25017312502,1793,857,334,493,43,66
25017313101,2695,1435,345,500,214,201
25017313102,3327,1345,454,851,262,415
25017314101,3304,1144,599,762,318,481
25017314102,3946,1457,777,762,534,416
25017314200,2563,1119,381,686,117,260
25017314301,4706,1669,699,1293,483,562
25017314302,1772,822,278,447,98,127
25017315100,2900,1422,327,759,191,201
25017315200,3517,1578,381,893,439,226
25017315401,1660,691,199,457,121,192
25017315402,1647,798,248,341,197,63
25017315403,742,287,75,127,194,59
25017315500,4034,1525,738,1050,399,322
25017316101,2499,1008,431,571,261,228
25017316102,3276,1473,430,764,252,357
25017316201,2277,826,284,711,220,236
25017316202,2388,782,434,777,260,135
25017316300,4402,2208,384,1106,350,354
25017316400,3208,1153,430,1025,243,357
25017316500,3303,1406,488,757,305,347
25017317101,3021,1869,311,576,114,151
25017317102,1999,1131,168,456,82,162
25017317103,2696,1399,340,598,194,165
25017317201,1420,870,99,395,32,24
25017317202,1636,1013,209,275,32,107
25017317203,1842,1118,255,322,63,84
25017317301,1200,561,128,335,72,104
25017317302,3237,1673,503,589,228,244
25017318100,3101,1906,311,579,165,140
25017318200,1954,1242,148,360,115,89
25017318300,3726,2594,236,678,118,100
25017318400,1880,1276,241,277,61,25
25017320102,2406,1419,175,585,142,85
25017320103,1301,889,138,173,38,63
25017320104,3416,2090,410,695,157,64
25017321100,3643,1844,382,572,415,430
25017321200,3428,1160,627,1027,260,354
25017321300,4026,1347,1058,648,610,363
25017321400,2009,986,239,529,197,58
25017321500,3853,1769,925,631,220,308
25017321600,4426,2493,721,761,178,273
25017322100,2514,1372,194,569,224,155
25017322200,1928,889,257,509,111,162
25017322300,3365,1311,469,692,351,542
25017322400,2375,887,479,486,157,366
25017323100,3547,2034,333,867,100,213
25017324101,2302,1179,334,445,209,135
25017324102,1951,1151,228,315,156,101
25017325100,3660,1580,504,908,369,299
25017326101,1905,1299,197,335,60,14
25017326102,3280,2146,261,548,189,136
25017327101,1891,780,392,543,86,90
25017327102,2466,969,407,656,268,166
25017327103,2158,1243,214,390,224,87
25017328100,1673,815,132,396,191,139
25017330100,4352,2097,472,1364,174,245
25017330200,3136,1305,409,912,279,231
25017331101,1737,826,109,514,86,202
25017331102,3326,1504,506,857,260,199
25017331200,3072,1211,425,844,284,308
25017331300,3651,1560,388,1038,311,354
25017332100,3079,1466,293,858,199,263
25017332200,4157,2023,381,1138,386,229
25017332300,3669,1556,578,1113,140,282
25017332400,1860,1036,208,466,40,110
25017333100,3529,1572,463,1017,172,305
25017333200,3011,1344,269,737,358,303
25017333300,1982,516,501,499,246,220
25017333400,3424,1407,440,1002,291,284
25017333501,2689,1119,291,898,152,229
25017333502,1885,557,285,652,146,245
25017333600,4090,2017,483,981,209,400
25017334100,2888,1722,227,705,163,71
25017334200,2280,1338,200,567,79,96
25017334300,4032,2276,301,1076,188,191
25017334400,3437,1571,498,902,270,196
25017335100,3601,1832,353,973,330,113
25017335200,3268,1458,470,801,372,167
25017335301,1996,1051,209,390,260,86
25017335302,2408,1267,244,523,204,170
25017335400,2777,1544,147,768,240,78
25017336100,2575,1569,138,630,199,39
25017336200,2928,1605,334,653,309,27
25017336300,3357,1925,402,684,143,203
25017336401,2590,1316,464,612,87,111
25017336402,2488,1174,404,498,274,138
25017337101,1634,934,100,432,93,75
25017337102,2720,1346,350,744,146,134
25017337201,1584,760,285,331,153,55
25017337202,2427,1049,158,941,113,166
25017337300,2579,1096,432,646,230,175
25017338100,1407,1005,132,171,57,42
25017338200,1820,1020,283,380,69,68
25017338300,1332,946,54,332,0,0
25017338400,2199,1627,146,351,7,68
25017338500,2439,1877,144,301,55,62
25017339100,2926,1776,212,674,144,120
25017339200,2956,1722,317,726,131,60
25017339300,1668,869,314,353,57,75
25017339400,1715,783,205,498,71,158
25017339500,3267,1602,451,834,247,133
25017339600,3182,1406,429,926,231,190
25017339700,2300,892,436,581,215,176
25017339801,2305,1144,304,685,89,83
25017339802,2380,939,696,478,180,87
25017339900,2888,1042,636,785,108,317
25017340000,1294,439,307,360,75,113
25017340100,3664,1697,399,1060,297,211
25017341101,1609,645,271,500,82,111
25017341102,2389,1224,431,467,72,195
25017341200,3025,964,817,714,298,232
25017341300,2909,1531,753,331,209,85
25017341400,3720,958,1115,660,498,489
25017341500,2896,753,835,829,155,324
25017341600,3625,1428,637,730,309,521
25017341700,3018,1041,853,788,155,181
25017341800,3374,885,547,1027,410,505
25017341901,645,173,180,204,31,57
25017341902,4288,1733,947,899,274,435
25017342101,2125,630,565,486,195,249
25017342102,2291,430,482,825,355,199
25017342201,2711,439,1014,572,211,475
25017342202,2014,564,489,566,201,194
25017342300,3616,1021,770,975,470,380
25017342400,3025,684,790,703,484,364
25017342500,3630,691,1034,869,395,641
25017342600,2252,328,808,377,434,305
25017350103,650,211,87,227,51,74
25017350104,3560,1202,809,877,412,260
25017350200,4112,1680,897,995,363,177
25017350300,1641,634,352,340,223,92
25017350400,3749,2439,423,732,89,66
25017350500,1060,701,150,197,12,0
25017350600,2669,1446,319,734,54,116
25017350700,3562,1689,375,1058,198,242
25017350800,1203,813,117,206,33,34
25017350900,2463,1874,63,397,91,38
25017351000,4951,3314,638,887,71,41
25017351100,3605,2188,662,584,62,109
25017351203,2980,1747,262,767,130,74
25017351204,2751,1848,325,395,28,155
25017351300,2492,1058,548,460,251,175
25017351403,2242,605,588,480,137,432
25017351404,2213,522,722,491,249,229
25017351500,1576,355,644,335,196,46
25017352101,901,669,51,181,0,0
25017352102,1317,945,75,238,37,22
25017352200,1074,625,164,241,24,20
25017352300,1625,1122,193,252,14,44
25017352400,945,437,307,129,0,72
25017352500,2198,1450,238,413,50,47
25017352600,1784,1045,271,323,53,92
25017352700,953,465,191,218,24,55
25017352800,1627,918,277,203,163,66
25017352900,1966,1407,171,316,25,47
25017353000,2251,1691,179,250,40,91
25017353101,1757,1025,184,438,15,95
25017353102,1648,1500,35,97,0,16
25017353200,2256,1527,235,430,35,29
25017353300,3215,1984,519,466,117,129
25017353400,1779,1129,250,234,53,113
25017353500,1574,945,221,270,44,94
25017353600,2050,1584,194,262,0,10
25017353700,2332,1674,185,368,33,72
25017353800,2894,2470,228,112,41,43
25017353900,1741,1386,91,198,10,56
25017354000,2140,1812,98,230,0,0
25017354100,1753,1254,195,285,11,8
25017354200,1724,1435,93,176,4,16
25017354300,2093,1368,218,347,68,92
25017354400,908,666,85,134,9,14
25017354500,1539,1195,91,222,12,19
25017354600,2430,1507,350,433,63,77
25017354700,1676,1341,72,229,34,0
25017354800,1437,1142,89,194,0,12
25017354900,2862,1492,419,618,41,292
25017355000,1788,1262,177,248,46,55
25017356100,1829,1172,152,389,81,35
25017356300,2773,1442,370,817,68,76
25017356400,3816,2405,366,823,141,81
25017356500,3687,2171,273,858,194,191
25017356601,2409,1594,269,396,74,76
25017356602,2045,1405,130,343,67,100
25017356701,3649,2479,349,705,82,34
25017356702,3525,2413,159,745,136,72
25017357100,1951,1507,122,257,0,65
25017357200,1624,1013,122,458,10,21
25017357300,1798,1227,170,283,97,21
25017357400,1135,872,63,119,44,37
25017357500,1181,807,124,152,30,68
25017357600,1383,799,219,239,52,74
25017357700,1842,1041,250,337,68,146
25017357800,1700,1079,208,299,60,54
25017358100,2511,1993,138,307,15,58
25017358300,2269,1496,172,497,93,11
25017358400,2276,1710,190,234,40,102
25017358500,2276,1736,135,397,8,0
25017358600,2885,2101,240,463,0,81
25017358700,2434,1747,124,500,16,47
25017359100,2592,1774,234,384,159,41
25017359300,3695,2316,288,646,202,243
25017360100,352,190,40,84,7,31
25017360200,2293,1696,174,360,46,17
25017361100,2471,1692,180,428,109,62
25017361200,2337,1424,155,484,146,128
25017361300,2780,1956,293,358,117,56
25017362100,2002,1446,122,271,80,83
25017363102,2698,1648,306,451,115,178
25017363103,1726,960,117,434,55,160
25017363104,2968,2071,134,489,156,118
25017363201,1522,1163,75,195,42,47
25017363202,1664,1110,112,295,67,80
25017364101,2845,1383,538,618,161,145
25017364102,2525,1287,442,434,168,194
25017365100,3180,2309,171,516,108,76
25017365201,2611,1896,120,458,42,95
25017365202,2090,1361,221,389,79,40
25017366100,2275,1390,221,471,114,79
25017366201,1696,1275,38,319,54,10
25017366202,2346,1690,127,435,42,52
25017367100,1788,1238,113,321,108,8
25017367200,2667,1706,205,668,45,43
25017368101,3366,1840,441,799,172,114
25017368102,2079,1046,235,602,83,113
25017368200,2410,1232,344,630,86,118
25017368300,3675,1271,999,827,246,332
25017368400,3916,1942,600,839,308,227
25017368500,1844,839,487,330,94,94
25017368600,3314,1269,781,781,174,309
25017368700,1260,444,306,252,133,125
25017368800,2364,1030,461,478,183,212
25017368901,4379,1768,603,1718,192,98
25017368902,1784,829,384,341,87,143
25017369000,617,329,132,78,2,76
25017369100,2438,1080,334,719,146,159
25017370101,3261,1830,271,778,254,128
25017370102,4129,2277,529,735,147,441
25017370201,2435,1243,296,514,254,128
25017370202,2609,1784,233,435,92,65
25017370300,3140,1725,359,782,149,125
25017370400,3357,1784,423,687,196,267
25017373100,2581,1877,223,305,5,171
25017373200,2169,893,353,628,168,127
25017373300,1497,1085,117,212,39,44
25017373400,1515,1175,53,214,32,41
25017373500,2608,1957,261,353,28,9
25017373600,1843,1192,298,322,6,25
25017373700,2059,1751,62,206,11,29
25017373800,2904,2077,260,481,72,14
25017373900,3015,2115,291,402,64,143
25017374000,2346,1507,160,554,88,37
25017374100,2376,1720,173,304,22,157
25017374200,2173,1652,139,320,25,37
