total (occupation),geoid,top_occ,service,sales,nat_construction,production
2081,25009201100,1161,280,460,57,123
1255,25009202101,767,107,251,72,58
3535,25009202102,1926,488,669,266,186
3298,25009202200,2478,165,369,141,145
3809,25009203100,2274,370,902,102,161
2394,25009203200,1373,321,510,85,105
2036,25009203301,1088,234,424,58,232
2176,25009203302,1397,318,302,113,46
2611,25009204101,994,619,634,145,219
2745,25009204102,935,548,898,129,235
2815,25009204200,1117,665,717,88,228
2180,25009204300,683,758,544,75,120
1908,25009204400,993,271,359,84,201
1919,25009204500,1049,260,305,136,169
2856,25009204600,1271,579,436,275,295
3262,25009204701,1341,743,837,81,260
3954,25009204702,1699,834,677,276,468
2868,25009205100,796,447,787,406,432
2549,25009205200,700,849,318,171,511
2457,25009205300,935,478,555,265,224
2710,25009205400,1225,448,566,198,273
2276,25009205500,478,541,625,172,460
1549,25009205600,495,261,499,168,126
2981,25009205700,731,813,655,373,409
1575,25009205800,333,514,328,133,267
2209,25009205900,383,765,485,290,286
1896,25009206000,354,923,263,106,250
2010,25009206100,345,639,283,307,436
2965,25009206200,508,869,425,360,803
2449,25009206300,459,638,527,273,552
3163,25009206400,853,704,723,402,481
1608,25009206500,370,415,311,210,302
2273,25009206600,744,738,333,161,297
2031,25009206700,525,462,530,102,412
1701,25009206800,353,597,179,181,391
1671,25009206900,332,732,336,100,171
1046,25009207000,141,387,101,167,250
1860,25009207100,278,710,232,156,484
1027,25009207200,137,318,259,68,245
2627,25009208101,875,524,709,273,246
1795,25009208102,714,217,527,216,121
3120,25009208200,1059,462,983,250,366
4231,25009208300,2000,758,780,304,389
3541,25009208400,1537,447,897,325,335
3324,25009209100,1601,396,1058,47,222
3184,25009209200,1860,336,684,147,157
3904,25009210100,1789,579,949,243,344
2896,25009210200,1207,473,743,249,224
3882,25009210300,1349,934,978,161,460
3852,25009210400,1813,515,992,231,301
3509,25009210500,1597,554,724,410,224
2339,25009210600,901,620,379,180,259
2571,25009210700,683,683,755,126,324
2410,25009210800,800,507,564,200,339
2252,25009210900,849,445,504,142,312
1964,25009211100,976,254,517,103,114
3717,25009211200,1713,675,820,218,291
3450,25009211300,1532,434,958,210,316
2311,25009211401,981,435,487,123,285
3546,25009211402,1729,515,586,286,430
4390,25009212100,2250,608,958,255,319
4336,25009213100,2879,300,932,156,69
