geoid,medianValue
25009201100,576300.0
25009202101,465900.0
25009202102,335000.0
25009202200,569300.0
25009203100,597600.0
25009203200,691400.0
25009203301,497500.0
25009203302,623800.0
25009204101,350600.0
25009204102,336000.0
25009204200,332900.0
25009204300,273400.0
25009204400,355600.0
25009204500,297700.0
25009204600,346600.0
25009204701,327300.0
25009204702,334600.0
25009205100,294500.0
25009205200,278100.0
25009205300,305000.0
25009205400,349200.0
25009205500,243300.0
25009205600,273700.0
25009205700,272200.0
25009205800,232500.0
25009205900,265900.0
25009206000,263000.0
25009206100,333600.0
25009206200,352200.0
25009206300,261900.0
25009206400,267300.0
25009206500,257800.0
25009206600,299300.0
25009206700,233000.0
25009206800,244800.0
25009206900,242300.0
25009207000,128800.0
25009207100,281300.0
25009207200,296600.0
25009208101,347900.0
25009208102,361200.0
25009208200,326100.0
25009208300,367000.0
25009208400,409900.0
25009209100,512800.0
25009209200,600400.0
25009210100,420300.0
25009210200,372900.0
25009210300,335800.0
25009210400,355700.0
25009210500,361800.0
25009210600,340100.0
25009210700,326100.0
25009210800,331100.0
25009210900,353200.0
25009211100,374900.0
25009211200,332000.0
25009211300,451700.0
25009211401,425100.0
25009211402,401600.0
25009212100,458300.0
25009213100,656800.0
25009214100,563900.0
25009215101,600500.0
25009215102,419700.0
25009216100,624300.0
25009217100,400400.0
25009217201,359300.0
25009217202,353100.0
25009217300,336500.0
25009217400,309200.0
25009217500,410800.0
25009217600,533700.0
25009218100,743200.0
25009220101,579500.0
25009220102,433600.0
25009221100,465200.0
25009221300,459500.0
25009221400,334900.0
25009221500,340700.0
25009221600,302500.0
25009221700,325500.0
25009221800,412700.0
25009221901,421600.0
25009221902,425000.0
25009222100,498400.0
25009223100,544700.0
25009223200,376500.0
25009223300,464600.0
25009250100,
25009250200,262600.0
25009250300,285800.0
25009250400,240200.0
25009250500,218600.0
25009250600,262700.0
25009250700,263800.0
25009250800,304300.0
25009250900,178700.0
25009251000,312500.0
25009251100,244400.0
25009251200,164300.0
25009251300,198100.0
25009251400,245500.0
25009251500,244000.0
25009251600,268300.0
25009251700,279600.0
25009251800,254100.0
25009252101,254500.0
25009252102,358500.0
25009252201,306600.0
25009252202,360700.0
25009252300,288000.0
25009252400,240100.0
25009252501,269000.0
25009252502,312600.0
25009252601,283100.0
25009252602,385800.0
25009252603,358000.0
25009253100,340000.0
25009253201,342100.0
25009253202,308900.0
25009253203,582100.0
25009253204,572600.0
25009253205,617400.0
25009254100,431700.0
25009254200,480900.0
25009254301,598500.0
25009254302,591600.0
25009254401,539800.0
25009254402,628000.0
25009254403,626200.0
25009260100,199500.0
25009260200,273400.0
25009260301,289500.0
25009260302,340000.0
25009260401,290600.0
25009260402,309700.0
25009260500,306100.0
25009260600,269000.0
25009260700,257600.0
25009260800,276400.0
25009260900,237800.0
25009261000,276300.0
25009261101,362800.0
25009261102,249700.0
25009262100,351800.0
25009263100,496000.0
25009264100,369700.0
25009265101,413000.0
25009265102,472200.0
25009266100,378400.0
25009266200,279700.0
25009266300,330900.0
25009266400,326800.0
25009267101,338100.0
25009267102,319100.0
25009268100,448300.0
25009268200,449300.0
25009268300,380700.0
25009268400,493300.0
25009269100,488200.0
25009270100,447300.0
25009990100,
25017300100,286700.0
25017301101,290800.0
25017301102,292500.0
25017310100,204500.0
25017310200,241700.0
25017310300,212700.0
25017310400,190600.0
25017310500,256400.0
25017310601,270500.0
25017310602,240400.0
25017310700,271000.0
25017311100,253000.0
25017311200,209900.0
25017311300,273700.0
25017311400,287700.0
25017311500,304300.0
25017311600,280900.0
25017311700,237700.0
25017311800,258100.0
25017311900,194900.0
25017312000,210900.0
25017312100,225400.0
25017312200,219700.0
25017312300,238600.0
25017312400,214700.0
25017312501,335700.0
25017312502,320700.0
25017313101,410800.0
25017313102,351000.0
25017314101,294900.0
25017314102,276900.0
25017314200,307100.0
25017314301,292600.0
25017314302,388600.0
25017315100,389000.0
25017315200,371700.0
25017315401,325500.0
25017315402,370600.0
25017315403,343700.0
25017315500,342600.0
25017316101,380800.0
25017316102,381900.0
25017316201,368300.0
25017316202,360700.0
25017316300,337000.0
25017316400,346700.0
25017316500,358100.0
25017317101,329300.0
25017317102,350200.0
25017317103,386600.0
25017317201,432000.0
25017317202,416800.0
25017317203,335800.0
25017317301,350300.0
25017317302,291700.0
25017318100,407200.0
25017318200,361000.0
25017318300,492900.0
25017318400,509600.0
25017320102,544100.0
25017320103,555000.0
25017320104,539900.0
25017321100,365600.0
25017321200,309900.0
25017321300,328900.0
25017321400,353900.0
25017321500,346900.0
25017321600,351000.0
25017322100,376100.0
25017322200,362000.0
25017322300,302500.0
25017322400,321600.0
25017323100,460000.0
25017324101,389300.0
25017324102,417000.0
25017325100,314400.0
25017326101,502900.0
25017326102,455600.0
25017327101,360300.0
25017327102,292700.0
25017327103,374200.0
25017328100,472600.0
25017330100,503700.0
25017330200,392100.0
25017331101,443200.0
25017331102,392300.0
25017331200,378100.0
25017331300,415100.0
25017332100,450200.0
25017332200,442100.0
25017332300,424000.0
25017332400,429300.0
25017333100,396000.0
25017333200,394700.0
25017333300,360200.0
25017333400,365800.0
25017333501,385400.0
25017333502,377200.0
25017333600,369400.0
25017334100,504000.0
25017334200,446400.0
25017334300,499200.0
25017334400,381700.0
25017335100,406400.0
25017335200,445000.0
25017335301,368200.0
25017335302,436600.0
25017335400,402500.0
25017336100,438400.0
25017336200,458800.0
25017336300,425100.0
25017336401,343100.0
25017336402,430400.0
25017337101,419000.0
25017337102,435900.0
25017337201,385800.0
25017337202,415100.0
25017337300,408800.0
25017338100,617000.0
25017338200,450900.0
25017338300,817100.0
25017338400,792300.0
25017338500,730100.0
25017339100,438000.0
25017339200,447700.0
25017339300,408500.0
25017339400,405400.0
25017339500,371900.0
25017339600,403200.0
25017339700,415800.0
25017339801,371300.0
25017339802,423100.0
25017339900,380700.0
25017340000,356300.0
25017340100,360500.0
25017341101,383900.0
25017341102,421700.0
25017341200,341500.0
25017341300,344700.0
25017341400,375600.0
25017341500,315400.0
25017341600,336300.0
25017341700,355100.0
25017341800,311500.0
25017341901,324500.0
25017341902,347500.0
25017342101,359300.0
25017342102,330000.0
25017342201,343600.0
25017342202,364400.0
25017342300,362400.0
25017342400,328700.0
25017342500,369600.0
25017342600,382900.0
25017350103,464900.0
25017350104,353200.0
25017350200,366300.0
25017350300,363800.0
25017350400,520700.0
25017350500,606900.0
25017350600,591200.0
25017350700,519700.0
25017350800,513500.0
25017350900,574100.0
25017351000,448300.0
25017351100,470300.0
25017351203,501000.0
25017351204,417900.0
25017351300,498800.0
25017351403,436600.0
25017351404,389500.0
25017351500,434900.0
25017352101,530200.0
25017352102,641000.0
25017352200,365100.0
25017352300,389000.0
25017352400,385700.0
25017352500,473900.0
25017352600,412000.0
25017352700,562500.0
25017352800,472700.0
25017352900,665400.0
25017353000,399400.0
25017353101,370700.0
25017353102,
25017353200,505700.0
25017353300,554800.0
25017353400,469400.0
25017353500,537700.0
25017353600,847600.0
25017353700,578000.0
25017353800,466300.0
25017353900,581500.0
25017354000,609800.0
25017354100,
25017354200,
25017354300,490700.0
25017354400,625000.0
25017354500,780000.0
25017354600,603000.0
25017354700,637500.0
25017354800,530900.0
25017354900,450500.0
25017355000,542300.0
25017356100,511500.0
25017356300,441400.0
25017356400,543000.0
25017356500,459400.0
25017356601,482600.0
