medianValue,geoid
625400.0,25009201100
472400.0,25009202101
358600.0,25009202102
616200.0,25009202200
653500.0,25009203100
773200.0,25009203200
611700.0,25009203301
774900.0,25009203302
347800.0,25009204101
351300.0,25009204102
379100.0,25009204200
361800.0,25009204300
402700.0,25009204400
296000.0,25009204500
387700.0,25009204600
365000.0,25009204701
394200.0,25009204702
351600.0,25009205100
362300.0,25009205200
336600.0,25009205300
397600.0,25009205400
327700.0,25009205500
326100.0,25009205600
301800.0,25009205700
244400.0,25009205800
303800.0,25009205900
290400.0,25009206000
344500.0,25009206100
283200.0,25009206200
239200.0,25009206300
300500.0,25009206400
333800.0,25009206500
318400.0,25009206600
276900.0,25009206700
272800.0,25009206800
264300.0,25009206900
182600.0,25009207000
270800.0,25009207100
266200.0,25009207200
386600.0,25009208101
363800.0,25009208102
378800.0,25009208200
412200.0,25009208300
452000.0,25009208400
635900.0,25009209100
709400.0,25009209200
456400.0,25009210100
457600.0,25009210200
352400.0,25009210300
373300.0,25009210400
394700.0,25009210500
372500.0,25009210600
320800.0,25009210700
315500.0,25009210800
377300.0,25009210900
426500.0,25009211100
373700.0,25009211200
495000.0,25009211300
485400.0,25009211401
409900.0,25009211402
555600.0,25009212100
678700.0,25009213100
598700.0,25009214100
631400.0,25009215101
462200.0,25009215102
605100.0,25009216100
442900.0,25009217100
383000.0,25009217201
413500.0,25009217202
344400.0,25009217300
334000.0,25009217400
481900.0,25009217500
585200.0,25009217600
852400.0,25009218100
578800.0,25009220101
476800.0,25009220102
571000.0,25009221100
550100.0,25009221300
311500.0,25009221400
332500.0,25009221500
331600.0,25009221600
318700.0,25009221700
457800.0,25009221800
501300.0,25009221901
407400.0,25009221902
574600.0,25009222100
581500.0,25009223100
418800.0,25009223200
505400.0,25009223300
,25009250100
305200.0,25009250200
262200.0,25009250300
190400.0,25009250400
316700.0,25009250500
278200.0,25009250600
327100.0,25009250700
291600.0,25009250800
209500.0,25009250900
229200.0,25009251000
247400.0,25009251100
169600.0,25009251200
147700.0,25009251300
286200.0,25009251400
221800.0,25009251500
272300.0,25009251600
270300.0,25009251700
268800.0,25009251800
277200.0,25009252101
415600.0,25009252102
306400.0,25009252201
350300.0,25009252202
283800.0,25009252300
312000.0,25009252400
331600.0,25009252501
320600.0,25009252502
328200.0,25009252601
388400.0,25009252602
356000.0,25009252603
373700.0,25009253100
372400.0,25009253201
275500.0,25009253202
633100.0,25009253203
589000.0,25009253204
612800.0,25009253205
551800.0,25009254100
546600.0,25009254200
756800.0,25009254301
626400.0,25009254302
629100.0,25009254401
633400.0,25009254402
615400.0,25009254403
217900.0,25009260100
237900.0,25009260200
305000.0,25009260301
342000.0,25009260302
290200.0,25009260401
370000.0,25009260402
353100.0,25009260500
272900.0,25009260600
266100.0,25009260700
255000.0,25009260800
263100.0,25009260900
266500.0,25009261000
354200.0,25009261101
242000.0,25009261102
362600.0,25009262100
570400.0,25009263100
406700.0,25009264100
417900.0,25009265101
492300.0,25009265102
384800.0,25009266100
307600.0,25009266200
340800.0,25009266300
303300.0,25009266400
354800.0,25009267101
373600.0,25009267102
556500.0,25009268100
481900.0,25009268200
496300.0,25009268300
653700.0,25009268400
517100.0,25009269100
486100.0,25009270100
,25009990100
267900.0,25017300100
282900.0,25017301101
295200.0,25017301102
218500.0,25017310100
293100.0,25017310200
220700.0,25017310300
174600.0,25017310400
239600.0,25017310500
284400.0,25017310601
249700.0,25017310602
213100.0,25017310700
281300.0,25017311100
269200.0,25017311200
273900.0,25017311300
270900.0,25017311400
294800.0,25017311500
310600.0,25017311600
249200.0,25017311700
281800.0,25017311800
175000.0,25017311900
236800.0,25017312000
236500.0,25017312100
236400.0,25017312200
258900.0,25017312300
237900.0,25017312400
355100.0,25017312501
372000.0,25017312502
403600.0,25017313101
375000.0,25017313102
331600.0,25017314101
278100.0,25017314102
344100.0,25017314200
353400.0,25017314301
412100.0,25017314302
416000.0,25017315100
409300.0,25017315200
324900.0,25017315401
432000.0,25017315402
391400.0,25017315403
373400.0,25017315500
429300.0,25017316101
425800.0,25017316102
407300.0,25017316201
415300.0,25017316202
385400.0,25017316300
384100.0,25017316400
380500.0,25017316500
408200.0,25017317101
392800.0,25017317102
459700.0,25017317103
475500.0,25017317201
473600.0,25017317202
367400.0,25017317203
368800.0,25017317301
305100.0,25017317302
517300.0,25017318100
438800.0,25017318200
577900.0,25017318300
571900.0,25017318400
527400.0,25017320102
587700.0,25017320103
604900.0,25017320104
393100.0,25017321100
330000.0,25017321200
337800.0,25017321300
383800.0,25017321400
299000.0,25017321500
360500.0,25017321600
412200.0,25017322100
376500.0,25017322200
282600.0,25017322300
345000.0,25017322400
507800.0,25017323100
417300.0,25017324101
516600.0,25017324102
326600.0,25017325100
479800.0,25017326101
468900.0,25017326102
364400.0,25017327101
314500.0,25017327102
353700.0,25017327103
470900.0,25017328100
579800.0,25017330100
468500.0,25017330200
468500.0,25017331101
464700.0,25017331102
472000.0,25017331200
488800.0,25017331300
573600.0,25017332100
534100.0,25017332200
488600.0,25017332300
548300.0,25017332400
510900.0,25017333100
424600.0,25017333200
429700.0,25017333300
443300.0,25017333400
423100.0,25017333501
445400.0,25017333502
458500.0,25017333600
605500.0,25017334100
518300.0,25017334200
615900.0,25017334300
470800.0,25017334400
461100.0,25017335100
570100.0,25017335200
465100.0,25017335301
529200.0,25017335302
526300.0,25017335400
594100.0,25017336100
635800.0,25017336200
560600.0,25017336300
505300.0,25017336401
468800.0,25017336402
517600.0,25017337101
569500.0,25017337102
505600.0,25017337201
486100.0,25017337202
428500.0,25017337300
843000.0,25017338100
608700.0,25017338200
1224500.0,25017338300
1074100.0,25017338400
990300.0,25017338500
555400.0,25017339100
605400.0,25017339200
483500.0,25017339300
503600.0,25017339400
516100.0,25017339500
514900.0,25017339600
476000.0,25017339700
501200.0,25017339801
441700.0,25017339802
470200.0,25017339900
450300.0,25017340000
467800.0,25017340100
469000.0,25017341101
420200.0,25017341102
398700.0,25017341200
381900.0,25017341300
354500.0,25017341400
368200.0,25017341500
438000.0,25017341600
381900.0,25017341700
359200.0,25017341800
361700.0,25017341901
425200.0,25017341902
422300.0,25017342101
387900.0,25017342102
379000.0,25017342201
373000.0,25017342202
465300.0,25017342300
379800.0,25017342400
422000.0,25017342500
397700.0,25017342600
642000.0,25017350103
632100.0,25017350104
557700.0,25017350200
514600.0,25017350300
820500.0,25017350400
1053100.0,25017350500
715600.0,25017350600
604100.0,25017350700
726000.0,25017350800
796100.0,25017350900
672300.0,25017351000
773000.0,25017351100
685800.0,25017351203
644500.0,25017351204
816900.0,25017351300
612000.0,25017351403
539900.0,25017351404
465400.0,25017351500
659800.0,25017352101
861000.0,25017352102
543000.0,25017352200
778500.0,25017352300
584600.0,25017352400
676200.0,25017352500
678600.0,25017352600
625000.0,25017352700
677400.0,25017352800
905900.0,25017352900
712900.0,25017353000
805900.0,25017353101
,25017353102
837100.0,25017353200
742300.0,25017353300
639300.0,25017353400
673700.0,25017353500
1180100.0,25017353600
897800.0,25017353700
623400.0,25017353800
925400.0,25017353900
630000.0,25017354000
1145000.0,25017354100
1524500.0,25017354200
686100.0,25017354300
839700.0,25017354400
1127600.0,25017354500
713000.0,25017354600
863400.0,25017354700
799200.0,25017354800
674200.0,25017354900
651100.0,25017355000
599500.0,25017356100
529900.0,25017356300
705300.0,25017356400
610500.0,25017356500
633500.0,25017356601
629300.0,25017356602
571500.0,25017356701
764000.0,25017356702
894200.0,25017357100
960800.0,25017357200
711500.0,25017357300
931400.0,25017357400
777900.0,25017357500
545600.0,25017357600
720500.0,25017357700
1179000.0,25017357800
846700.0,25017358100
835200.0,25017358300
992600.0,25017358400
914100.0,25017358500
832800.0,25017358600
949200.0,25017358700
636500.0,25017359100
667900.0,25017359300
,25017360100
913800.0,25017360200
829300.0,25017361100
759900.0,25017361200
1051800.0,25017361300
845100.0,25017362100
570300.0,25017363102
624400.0,25017363103
571500.0,25017363104
597900.0,25017363201
557600.0,25017363202
351500.0,25017364101
348400.0,25017364102
810600.0,25017365100
655800.0,25017365201
697400.0,25017365202
605100.0,25017366100
881800.0,25017366201
725300.0,25017366202
1143800.0,25017367100
1504000.0,25017367200
580000.0,25017368101
492600.0,25017368102
533800.0,25017368200
462800.0,25017368300
520500.0,25017368400
416400.0,25017368500
477900.0,25017368600
519800.0,25017368700
579200.0,25017368800
579300.0,25017368901
515400.0,25017368902
530600.0,25017369000
566400.0,25017369100
554100.0,25017370101
523400.0,25017370102
713500.0,25017370201
608900.0,25017370202
511500.0,25017370300
471500.0,25017370400
745100.0,25017373100
674600.0,25017373200
765300.0,25017373300
843400.0,25017373400
1137700.0,25017373500
1439100.0,25017373600
1128500.0,25017373700
983300.0,25017373800
1096300.0,25017373900
867000.0,25017374000
665300.0,25017374100
944600.0,25017374200
1195200.0,25017374300
1412700.0,25017374400
767000.0,25017374500
682700.0,25017374600
754300.0,25017374700
940900.0,25017374800
553200.0,25017382100
599100.0,25017382200
715700.0,25017382300
583800.0,25017382400
503800.0,25017382500
290100.0,25017382601
513800.0,25017382602
243300.0,25017383101
252600.0,25017383102
336200.0,25017383200
382200.0,25017383300
332900.0,25017383400
375500.0,25017383501
382500.0,25017383502
428500.0,25017383600
403700.0,25017383700
440800.0,25017383800
399300.0,25017383901
504400.0,25017383902
439600.0,25017384001
529500.0,25017384002
524600.0,25017385100
371600.0,25017385201
360800.0,25017385202
783800.0,25017386100
442300.0,25017387100
406900.0,25017387201
524200.0,25017387202
546500.0,25017388100
314200.0,25017388200
227400.0,25017388300
,25017980000
939100.0,25021400100
765200.0,25021400200
1147000.0,25021400300
951000.0,25021400400
799300.0,25021400500
1000000.0,25021400600
836600.0,25021400700
777900.0,25021400800
702600.0,25021400900
795500.0,25021401000
1766100.0,25021401100
1080000.0,25021401200
422700.0,25021402101
407900.0,25021402102
415200.0,25021402200
486600.0,25021402300
463400.0,25021402400
727200.0,25021402500
873000.0,25021403100
967800.0,25021403300
861600.0,25021403400
768100.0,25021403500
1013400.0,25021404100
1456400.0,25021404201
996600.0,25021404202
1194600.0,25021404301
889600.0,25021404302
1336200.0,25021404400
1008600.0,25021405100
633800.0,25021406101
701800.0,25021406102
400200.0,25021407100
429400.0,25021408101
390200.0,25021408102
501800.0,25021409101
509500.0,25021409102
451900.0,25021410100
418300.0,25021410300
398900.0,25021410400
439700.0,25021411100
497700.0,25021411200
568500.0,25021411301
469700.0,25021411302
708300.0,25021412100
789100.0,25021412200
685100.0,25021412300
443900.0,25021413100
375500.0,25021413200
481600.0,25021413300
463500.0,25021413401
427700.0,25021413402
441900.0,25021413500
511600.0,25021414100
613100.0,25021414200
504800.0,25021414300
540200.0,25021415101
420400.0,25021415102
584300.0,25021415200
608700.0,25021415300
684800.0,25021416101
840400.0,25021416102
490500.0,25021416200
645000.0,25021416300
626500.0,25021416400
512300.0,25021417100
416300.0,25021417200
435300.0,25021417300
567900.0,25021417400
469800.0,25021417501
428000.0,25021417502
433900.0,25021417601
453500.0,25021417602
416100.0,25021417701
504100.0,25021417702
405500.0,25021417801
358900.0,25021417802
351500.0,25021417901
383500.0,25021417902
371800.0,25021418002
435100.0,25021418003
407200.0,25021418004
469000.0,25021418101
380400.0,25021418102
394300.0,25021418200
505900.0,25021419100
457800.0,25021419200
419800.0,25021419300
396900.0,25021419400
507900.0,25021419500
455500.0,25021419600
460600.0,25021419700
418300.0,25021419800
310500.0,25021420100
342700.0,25021420201
359200.0,25021420202
308400.0,25021420301
349100.0,25021420302
324000.0,25021421100
325500.0,25021421200
403700.0,25021422100
400500.0,25021422200
413000.0,25021422301
340600.0,25021422302
366800.0,25021422400
390600.0,25021422501
361600.0,25021422502
367100.0,25021422600
359900.0,25021422700
375700.0,25021422800
872100.0,25021423100
337700.0,25021440100
530600.0,25021441202
354700.0,25021441203
464600.0,25021441204
422100.0,25021442101
388000.0,25021442102
465400.0,25021442103
513000.0,25021442201
410800.0,25021442202
292500.0,25021443101
335100.0,25021443102
375400.0,25021456101
354500.0,25021456102
352600.0,25021456200
268000.0,25021456301
282600.0,25021456302
332200.0,25021456401
396600.0,25021456402
331500.0,25021457100
822700.0,25021457200
457400.0,25023500101
358000.0,25023500103
398000.0,25023500104
859500.0,25023501101
