Training Score,Test Score,Std. of Training Scores,Std. of Test Scores,rank,min_samples_leaf
-1.0776697646114103e-15,-0.3428939906129529,7.693886179053033e-18,0.01662083404627326,3,1
-0.03539058877138737,-0.342290736763123,0.0004921138810346578,0.017912598823693417,2,2
-0.08739443498990268,-0.34216994251968924,0.0016712883659104633,0.013056425391211336,1,3
-0.13629080193495252,-0.3447803893788062,0.001567766036299749,0.01599497742709579,4,4
-0.17428483859135627,-0.34632529618896124,0.003134278216369122,0.014951542341984701,5,5
-0.20268031958733798,-0.3497440723165483,0.002626332667722839,0.014104700360405847,7,6
-0.22432659155893303,-0.34956081924444765,0.002810057886745392,0.015436063294813188,6,7
-0.24176042711779885,-0.35262914228292735,0.003294854865914187,0.012400819531841948,8,8
-0.25523674823039044,-0.35295101984163635,0.003587546357043303,0.014005772326484528,10,9
-0.2666239934243577,-0.35355971980565154,0.004566177700084859,0.01596987331495279,11,10
-0.2753858870292956,-0.3526306249423506,0.003901143166272828,0.015372079550771864,9,11
-0.2838803332771219,-0.35694104961197326,0.003388847262606444,0.013501039402687577,13,12
-0.2888687359360753,-0.35685995881878596,0.004442087774494159,0.014742085215058832,12,13
-0.2964837983641036,-0.35967275747478045,0.00394397984991357,0.014105206413876458,14,14
-0.3010923623794519,-0.3611915327164069,0.003887516583116491,0.014349320306171694,16,15
-0.3059845942094235,-0.36110699067894064,0.003945785062787373,0.01547847041344251,15,16
-0.3106685327849236,-0.3613492351038012,0.0036841310193908884,0.016131734519136885,17,17
-0.3154699558266962,-0.3638720323137407,0.004659598943002113,0.015158577806371877,19,18
-0.31761336901474047,-0.3637780062866208,0.004877687255817737,0.014906510593029686,18,19
-0.3212074446136356,-0.36466803167408124,0.004879229471145851,0.01529463499861035,20,20
-0.32384752605081435,-0.364966513183446,0.004506172785484412,0.015552165154991191,21,21
-0.3269072394381809,-0.36548926992040986,0.00442697605727342,0.015766567400526784,22,22
-0.32858791970020607,-0.366515085837305,0.0048970120876716565,0.015223417175381152,24,23
-0.33024241421167816,-0.3659965940421154,0.005028569005967186,0.014741156229013435,23,24
-0.33326434894315515,-0.36698339148635234,0.005007468304732087,0.014636683287609767,25,25
