,2010 Count,2010 Mean,2010 StD,2010 Min,2010 LQ,2010 Median,2010 UQ,2010 Max,2019 Count,2019 Mean,2019 StD,2019 Min,2019 LQ,2019 Median,2019 UQ,2019 Max
House Prices,824.0,0.24928851524761758,0.9708033417478088,-1.8006922936782657,-0.341956640553835,-0.015667699034432436,0.6356349061759884,4.198214611040262,824.0,0.32333776113568663,1.4587763263601925,-2.192749134632902,-0.6764437966842778,-0.047367462197121846,0.9744944434323188,6.468209145563854
Percentage with Bachelor Degree or Higher,824.0,0.1985881188335861,0.7681889704923911,-0.8443781201727136,-0.39282896589104777,-0.0065530342350919035,0.592935398710829,3.457936570875873,824.0,0.14329273426137085,0.836912024582816,-1.112303135483133,-0.5150062086544698,-0.030976179613704802,0.6990072430388548,2.5820537149669014
Percentage Professional Workers,824.0,0.023057486662177263,0.7044186714219753,-1.6813924198210823,-0.46405408302260986,-0.003384324102273073,0.5379014780022294,1.7224601241963748,824.0,-0.015022661898595609,0.7395219961931491,-1.7841019524309032,-0.5551075476210641,-0.02719060488261804,0.5497162766911696,1.6201264150337287
Household Income,824.0,0.026896099498641444,0.7914508478031083,-1.604194829033681,-0.5309418444156695,-0.01323334803705345,0.4704810962334759,3.8020689557038576,824.0,0.04134951553015379,1.0500608656033805,-2.200848072626891,-0.7258633692388692,-0.028316518917996136,0.6755197290721006,4.1138779401511165
Contract Rent,824.0,0.09398299629887895,0.8271680256288808,-2.117403314917127,-0.42403314917127055,0.006906077348066475,0.5752762430939227,2.6505524861878453,824.0,0.11484873679128858,1.2248390677662628,-2.9378453038674035,-0.7396408839779008,-0.04419889502762442,0.8860497237569056,4.327348066298342
white,824.0,-0.33632706430809695,0.8765983056483927,-3.2305541917723275,-0.690514800215317,-0.047152690600998026,0.31673797110606683,0.5704264720528731,824.0,-0.24903389626758723,0.8292919558980819,-2.9438834102908933,-0.6600841992830395,-0.031230853659238278,0.38968664429060584,0.7623056753520125
black,824.0,0.8356881032665529,2.163024265046482,-0.3690802733594258,-0.26643557339429,0.015733377057718323,0.7658059819924719,12.207405674326052,824.0,0.8367671112492223,2.1509551617011318,-0.49116017989022465,-0.30150057419820075,0.02201905898042089,0.784817834265144,11.374612384848971
nativeam,824.0,1.1922586069464565,3.2566923096872236,0.0,0.0,0.0,1.0180996170551697,52.55841887434258,824.0,1.3831945473931355,3.891294372976807,0.0,0.0,0.0,1.1516354076449749,50.15042201091038
asian,824.0,0.31654758531445365,0.9555360719211003,-0.5119747178662342,-0.3373828915283156,-0.008838475684469271,0.669366798671263,7.238891973658437,824.0,0.3653063715189442,1.1087307869491956,-0.6791352806572136,-0.43800296253964505,-0.010950295691403378,0.8138387396781814,6.644406510685525
pacislander,824.0,0.0004370148388223906,0.0032074202284913663,0.0,0.0,0.0,0.0,0.066876475216365,824.0,0.0004873715944497059,0.0031882427438263703,0.0,0.0,0.0,0.0,0.0677966101694915
other,824.0,0.624833044383813,1.6828832646952807,-0.49985410810615377,-0.26991271969860253,0.028633353597221634,0.7729253992732558,11.868510514323118,824.0,0.5044864139322649,1.4142998879336874,-0.7206861732005954,-0.3503515020553041,0.010285340212389416,0.660195313695124,7.854443313511693
children,824.0,-0.11392310589137263,0.8179471524091203,-2.5109214604205747,-0.5513923043635003,-0.010536578486452841,0.42145828744214664,1.9148325165837683,824.0,-0.09252302785221828,0.740053659542078,-2.383480525912954,-0.4968008949673559,-0.006705662506932608,0.40838726012394877,1.865243647009165
